

Data analysis for each instance 
AVG,MED,MAX,MIN
0.582,0.534,0.972,0.458,
0.591,0.532,0.937,0.497,
0.571,0.504,1,0.468,
0.563,0.516,1,0.451,
0.602,0.558,0.983,0.491,
0.558,0.514,1,0.437,
0.542,0.471,1,0.438,
0.579,0.526,0.968,0.468,
0.558,0.495,1,0.436,
0.574,0.514,0.985,0.429,
0.563,0.508,1,0.44,
0.54,0.475,1,0.425,
0.554,0.511,1,0.448,
0.582,0.532,0.948,0.482,
0.597,0.544,0.966,0.492,
0.579,0.531,1,0.475,
0.56,0.502,1,0.47,
0.594,0.557,0.968,0.5,
0.571,0.52,1,0.456,
0.585,0.522,1,0.48,
0.568,0.512,1,0.464,
0.566,0.496,0.968,0.471,
0.556,0.49,1,0.466,
0.562,0.499,1,0.455,
0.589,0.54,0.955,0.489,
0.574,0.514,1,0.475,
0.552,0.488,1,0.444,
0.585,0.529,0.965,0.471,
0.587,0.541,0.991,0.47,
0.57,0.51,1,0.454,
0.596,0.546,0.995,0.501,
0.584,0.532,0.955,0.508,
0.535,0.471,1,0.429,
0.567,0.514,1,0.436,
0.57,0.508,1,0.482,
0.54,0.499,1,0.417,
0.555,0.486,0.996,0.456,
0.582,0.524,0.995,0.469,
0.596,0.545,0.991,0.487,
0.602,0.548,0.993,0.5,
0.578,0.518,1,0.473,
0.541,0.464,1,0.447,
0.544,0.493,1,0.44,
0.566,0.506,1,0.48,
0.594,0.552,0.955,0.496,
0.546,0.487,1,0.435,
0.56,0.49,1,0.453,
0.566,0.514,1,0.464,
0.546,0.479,1,0.418,
0.57,0.518,0.986,0.462,
0.562,0.501,1,0.46,
0.595,0.55,1,0.481,
0.54,0.486,0.99,0.446,
0.557,0.491,1,0.454,
0.551,0.504,1,0.421,
0.602,0.538,0.989,0.493,
0.549,0.478,1,0.437,
0.565,0.536,0.916,0.468,
0.583,0.515,0.963,0.497,
0.562,0.51,1,0.455,
0.558,0.506,1,0.458,
0.58,0.524,1,0.446,
0.575,0.535,0.934,0.466,
0.553,0.506,1,0.443,
0.571,0.524,1,0.439,
0.603,0.556,0.965,0.526,
0.571,0.516,1,0.477,
0.553,0.504,0.975,0.468,
0.593,0.53,0.99,0.5,
0.56,0.526,0.933,0.465,
0.568,0.508,0.991,0.449,
0.559,0.492,1,0.447,
0.559,0.485,1,0.455,
0.572,0.515,1,0.466,
0.588,0.535,0.98,0.478,
0.561,0.508,1,0.431,
0.577,0.512,1,0.478,
0.556,0.51,0.996,0.465,
0.572,0.524,0.96,0.441,
0.565,0.497,0.993,0.453,
0.574,0.504,1,0.473,
0.588,0.515,0.978,0.494,
0.597,0.552,0.971,0.515,
0.552,0.484,0.995,0.441,
0.563,0.514,1,0.47,
0.57,0.517,0.995,0.463,
0.586,0.542,0.939,0.492,
0.538,0.475,1,0.415,
0.576,0.53,0.974,0.484,
0.578,0.526,0.942,0.458,
0.571,0.508,1,0.477,
0.577,0.52,1,0.481,
0.595,0.546,0.933,0.49,
0.556,0.489,1,0.43,
0.582,0.514,1,0.489,
0.58,0.538,0.963,0.46,
0.535,0.457,1,0.429,
0.555,0.483,1,0.454,
0.577,0.514,1,0.469,
0.564,0.51,0.969,0.476,
0.602,0.555,0.954,0.499,
0.552,0.478,1,0.452,
0.571,0.512,1,0.481,
0.584,0.543,0.971,0.458,
0.568,0.507,1,0.471,
0.585,0.546,0.992,0.468,
0.559,0.499,1,0.47,
0.542,0.464,1,0.443,
0.557,0.495,1,0.478,
0.573,0.518,0.958,0.48,
0.539,0.479,0.99,0.414,
0.571,0.51,1,0.481,
0.595,0.544,0.946,0.489,
0.539,0.462,1,0.435,
0.588,0.522,0.997,0.49,
0.569,0.508,1,0.442,
0.589,0.524,0.999,0.503,
0.544,0.492,1,0.426,
0.554,0.496,1,0.44,
0.558,0.502,0.994,0.43,
0.562,0.496,1,0.475,
0.575,0.516,1,0.451,
0.566,0.5,1,0.454,
0.593,0.538,0.96,0.508,
0.535,0.468,1,0.402,
0.556,0.495,1,0.452,
0.556,0.503,0.939,0.453,
0.596,0.542,1,0.507,
0.561,0.518,0.976,0.45,
0.55,0.502,1,0.448,
0.591,0.529,1,0.497,
0.574,0.512,1,0.463,
0.56,0.501,1,0.468,
0.571,0.532,0.968,0.426,
0.582,0.556,0.938,0.493,
0.589,0.53,0.95,0.491,
0.568,0.512,1,0.457,
0.549,0.487,1,0.437,
0.572,0.535,0.991,0.45,
0.55,0.496,0.919,0.453,
0.552,0.477,1,0.454,
0.573,0.522,1,0.461,
0.544,0.48,1,0.448,
0.577,0.514,0.929,0.488,
0.531,0.466,1,0.426,
0.555,0.484,1,0.437,
0.561,0.496,1,0.468,
0.598,0.572,1,0.462,
0.556,0.492,1,0.46,
0.573,0.508,1,0.474,
0.593,0.55,0.945,0.485,
0.549,0.506,0.887,0.439,
0.599,0.564,0.964,0.474,
0.563,0.536,0.932,0.451,
0.608,0.555,0.946,0.509,
0.568,0.522,0.964,0.44,
0.562,0.498,0.984,0.45,
0.57,0.509,0.993,0.481,
