

Data analysis for each instance 
AVG,MED,MAX,MIN
0.588,0.544,0.972,0.452,
0.601,0.546,0.937,0.515,
0.582,0.524,1,0.504,
0.576,0.516,1,0.479,
0.607,0.556,0.983,0.522,
0.579,0.506,1,0.446,
0.55,0.492,1,0.439,
0.583,0.538,0.968,0.459,
0.569,0.523,1,0.441,
0.588,0.524,0.985,0.504,
0.563,0.496,1,0.43,
0.556,0.489,1,0.46,
0.569,0.53,1,0.466,
0.601,0.565,0.948,0.5,
0.619,0.567,0.966,0.513,
0.587,0.538,1,0.497,
0.57,0.516,1,0.477,
0.613,0.569,0.968,0.507,
0.572,0.512,1,0.467,
0.6,0.557,1,0.472,
0.575,0.528,1,0.492,
0.585,0.54,0.968,0.489,
0.557,0.496,1,0.456,
0.573,0.52,1,0.471,
0.586,0.528,0.955,0.488,
0.575,0.518,1,0.474,
0.548,0.489,1,0.46,
0.59,0.552,0.965,0.47,
0.581,0.531,0.991,0.473,
0.57,0.506,1,0.471,
0.592,0.537,0.995,0.484,
0.606,0.556,0.955,0.548,
0.549,0.488,1,0.445,
0.577,0.546,1,0.489,
0.574,0.525,1,0.463,
0.549,0.494,1,0.452,
0.566,0.516,0.996,0.45,
0.589,0.53,0.996,0.482,
0.611,0.559,0.991,0.511,
0.615,0.567,0.993,0.514,
0.577,0.529,1,0.467,
0.542,0.489,1,0.44,
0.562,0.504,1,0.449,
0.57,0.517,1,0.492,
0.597,0.557,0.955,0.481,
0.546,0.5,1,0.446,
0.585,0.54,1,0.481,
0.574,0.52,1,0.489,
0.572,0.53,1,0.479,
0.58,0.524,0.986,0.49,
0.569,0.506,1,0.481,
0.599,0.562,1,0.467,
0.558,0.516,0.99,0.442,
0.57,0.527,1,0.473,
0.564,0.493,1,0.469,
0.605,0.558,0.989,0.513,
0.568,0.504,1,0.476,
0.57,0.534,0.916,0.463,
0.596,0.556,0.963,0.481,
0.566,0.508,1,0.471,
0.563,0.504,1,0.468,
0.581,0.524,1,0.449,
0.589,0.545,0.934,0.492,
0.56,0.507,1,0.455,
0.564,0.514,1,0.457,
0.586,0.537,0.965,0.479,
0.577,0.538,1,0.441,
0.562,0.511,0.976,0.462,
0.592,0.542,0.99,0.478,
0.562,0.53,0.933,0.457,
0.575,0.53,0.991,0.439,
0.566,0.508,1,0.459,
0.574,0.518,1,0.483,
0.568,0.522,1,0.478,
0.61,0.571,0.98,0.479,
0.566,0.512,1,0.47,
0.582,0.536,1,0.462,
0.558,0.502,0.996,0.461,
0.588,0.548,0.96,0.487,
0.573,0.513,0.994,0.467,
0.577,0.526,1,0.492,
0.587,0.538,0.978,0.468,
0.593,0.556,0.97,0.485,
0.595,0.542,0.995,0.516,
0.565,0.504,1,0.484,
0.575,0.522,0.995,0.492,
0.597,0.545,0.939,0.499,
0.562,0.492,1,0.47,
0.596,0.549,0.974,0.494,
0.586,0.536,0.942,0.443,
0.577,0.53,1,0.491,
0.583,0.536,1,0.495,
0.584,0.538,0.933,0.476,
0.576,0.528,1,0.461,
0.586,0.54,1,0.478,
0.588,0.532,0.963,0.48,
0.549,0.481,1,0.453,
0.557,0.518,1,0.468,
0.588,0.531,1,0.462,
0.583,0.532,0.969,0.493,
0.611,0.585,0.954,0.487,
0.55,0.494,1,0.448,
0.579,0.526,1,0.474,
0.593,0.548,0.971,0.502,
0.583,0.52,1,0.478,
0.597,0.556,0.992,0.49,
0.551,0.489,1,0.444,
0.552,0.498,1,0.454,
0.577,0.527,1,0.486,
0.59,0.54,0.958,0.505,
0.546,0.489,0.99,0.44,
0.584,0.546,1,0.475,
0.581,0.527,0.946,0.478,
0.553,0.497,1,0.442,
0.597,0.538,0.997,0.497,
0.574,0.512,1,0.479,
0.597,0.57,0.999,0.451,
0.556,0.508,1,0.451,
0.557,0.51,1,0.458,
0.567,0.514,0.994,0.461,
0.563,0.512,1,0.471,
0.578,0.529,1,0.455,
0.572,0.514,1,0.482,
0.596,0.54,0.96,0.522,
0.547,0.48,1,0.446,
0.568,0.508,1,0.47,
0.562,0.529,0.939,0.453,
0.61,0.571,1,0.5,
0.574,0.522,0.976,0.475,
0.56,0.505,1,0.468,
0.588,0.543,1,0.475,
0.584,0.516,1,0.49,
0.569,0.51,1,0.451,
0.587,0.536,0.968,0.493,
0.592,0.554,0.938,0.495,
0.587,0.54,0.95,0.496,
0.566,0.502,1,0.47,
0.542,0.483,1,0.426,
0.577,0.526,0.991,0.481,
0.567,0.537,0.919,0.461,
0.564,0.506,1,0.453,
0.583,0.529,1,0.472,
0.571,0.516,1,0.482,
0.583,0.526,0.929,0.483,
0.545,0.491,1,0.435,
0.568,0.499,1,0.479,
0.573,0.511,1,0.479,
0.624,0.595,1,0.501,
0.558,0.5,1,0.465,
0.584,0.524,1,0.457,
0.603,0.552,0.945,0.511,
0.566,0.531,0.887,0.466,
0.6,0.562,0.964,0.503,
0.56,0.512,0.932,0.445,
0.603,0.55,0.946,0.505,
0.581,0.532,0.964,0.496,
0.575,0.524,0.984,0.479,
0.561,0.518,0.993,0.445,
0.559,0.507,1,0.46,
0.573,0.52,0.981,0.474,
0.598,0.54,0.975,0.501,
0.601,0.558,0.958,0.509,
0.545,0.487,0.994,0.422,
0.585,0.522,1,0.467,
0.578,0.532,0.94,0.473,
0.578,0.528,1,0.465,
0.559,0.516,1,0.459,
0.588,0.537,0.974,0.506,
0.575,0.528,1,0.473,
0.58,0.53,1,0.455,
0.574,0.511,0.995,0.47,
0.577,0.532,1,0.462,
0.544,0.489,1,0.439,
0.593,0.536,0.957,0.489,
0.601,0.546,0.93,0.509,
0.552,0.501,1,0.43,
0.601,0.556,0.976,0.5,
0.566,0.524,1,0.47,
0.611,0.565,0.993,0.507,
0.561,0.499,1,0.452,
0.57,0.526,1,0.43,
0.597,0.549,1,0.494,
0.559,0.518,1,0.442,
0.563,0.51,1,0.429,
0.592,0.558,0.95,0.471,
0.591,0.538,1,0.5,
0.568,0.519,1,0.48,
0.581,0.527,0.927,0.491,
0.583,0.527,1,0.485,
0.551,0.488,1,0.421,
0.571,0.512,1,0.47,
0.585,0.54,0.93,0.488,
0.583,0.526,0.958,0.477,
0.575,0.522,1,0.487,
0.592,0.531,1,0.498,
0.613,0.579,0.991,0.497,
0.577,0.516,0.969,0.472,
0.566,0.514,1,0.455,
0.556,0.506,1,0.455,
0.597,0.565,0.961,0.46,
0.576,0.526,1,0.492,
0.566,0.502,1,0.459,
0.558,0.499,1,0.439,
0.581,0.536,0.999,0.456,
0.596,0.553,0.947,0.473,
0.545,0.483,1,0.417,
0.555,0.505,0.993,0.458,
0.597,0.54,1,0.5,
0.619,0.56,0.982,0.499,
0.561,0.51,1,0.457,
0.554,0.491,1,0.438,
0.581,0.542,0.935,0.479,
0.597,0.552,0.955,0.503,
0.569,0.517,1,0.464,
0.579,0.518,1,0.483,
0.578,0.508,1,0.474,
0.593,0.542,1,0.512,
0.58,0.54,0.954,0.472,
0.601,0.54,1,0.49,
0.593,0.54,1,0.478,
0.557,0.508,0.996,0.467,
0.574,0.512,1,0.48,
0.587,0.544,0.988,0.45,
0.571,0.507,1,0.471,
0.586,0.55,1,0.486,
0.599,0.54,0.971,0.504,
0.552,0.491,1,0.45,
0.55,0.481,1,0.419,
0.572,0.528,1,0.486,
0.584,0.541,0.968,0.493,
0.586,0.541,0.946,0.489,
0.549,0.496,1,0.426,
0.568,0.528,1,0.48,
0.554,0.491,1,0.451,
0.56,0.499,1,0.454,
0.552,0.481,1,0.456,
0.568,0.507,1,0.469,
0.588,0.532,0.995,0.49,
0.574,0.524,1,0.478,
0.587,0.551,0.94,0.484,
0.575,0.53,1,0.478,
0.588,0.532,1,0.499,
0.604,0.56,0.967,0.526,
0.566,0.518,0.916,0.45,
0.576,0.53,1,0.478,
0.568,0.522,1,0.457,
0.579,0.528,1,0.447,
0.56,0.5,1,0.477,
0.57,0.539,0.958,0.46,
0.578,0.541,0.958,0.481,
0.562,0.517,1,0.472,
0.582,0.53,1,0.454,
0.589,0.53,0.987,0.496,
0.563,0.51,0.981,0.468,
0.579,0.516,1,0.472,
0.558,0.501,1,0.473,
0.596,0.558,0.946,0.49,
0.586,0.542,0.943,0.475,
0.546,0.492,1,0.44,
0.576,0.518,1,0.484,
0.613,0.564,1,0.477,
0.559,0.499,1,0.473,
0.568,0.526,1,0.462,
0.584,0.527,0.963,0.489,
0.596,0.55,0.981,0.492,
0.611,0.56,0.986,0.527,
0.58,0.53,1,0.483,
0.545,0.479,1,0.443,
0.582,0.514,1,0.478,
0.584,0.526,1,0.475,
0.57,0.509,1,0.469,
0.579,0.53,0.997,0.482,
0.603,0.562,0.962,0.494,
0.581,0.528,0.968,0.485,
0.561,0.504,1,0.471,
0.552,0.51,0.984,0.461,
0.582,0.522,1,0.484,
0.568,0.53,0.93,0.48,
0.57,0.522,1,0.472,
0.564,0.504,1,0.464,
0.554,0.49,0.996,0.46,
0.559,0.499,0.997,0.459,
0.597,0.554,0.965,0.492,
0.574,0.5,1,0.479,
0.574,0.507,1,0.48,
0.574,0.522,1,0.482,
0.572,0.517,1,0.47,
0.595,0.55,0.968,0.479,
0.555,0.496,1,0.467,
0.577,0.511,1,0.455,
0.578,0.526,0.991,0.489,
0.585,0.542,0.921,0.487,
0.568,0.504,1,0.474,
0.55,0.492,1,0.446,
0.605,0.539,0.986,0.527,
0.578,0.515,1,0.487,
0.594,0.556,1,0.49,
0.551,0.49,1,0.448,
0.558,0.506,1,0.456,
0.575,0.516,1,0.492,
0.578,0.537,0.936,0.476,
0.58,0.515,0.964,0.474,
