

Data analysis for each instance 
AVG,MED,MAX,MIN
0.703,0.664,0.94,0.587,
0.733,0.725,0.876,0.643,
0.628,0.589,1,0.518,
0.633,0.597,1,0.542,
0.712,0.683,0.934,0.587,
0.631,0.596,1,0.475,
0.573,0.508,1,0.467,
0.59,0.575,0.764,0.531,
0.669,0.641,1,0.556,
0.818,0.793,0.973,0.718,
0.664,0.638,1,0.532,
0.614,0.564,1,0.482,
0.641,0.605,1,0.548,
0.725,0.718,0.859,0.641,
0.761,0.759,0.923,0.655,
0.665,0.637,1,0.576,
0.634,0.587,1,0.558,
0.688,0.658,0.932,0.627,
0.655,0.645,1,0.526,
0.649,0.619,1,0.547,
0.644,0.602,1,0.545,
0.713,0.694,0.938,0.624,
0.559,0.512,1,0.437,
0.627,0.595,1,0.523,
0.762,0.746,0.927,0.7,
0.663,0.629,1,0.591,
0.577,0.522,1,0.479,
0.75,0.73,0.955,0.656,
0.669,0.638,0.979,0.573,
0.656,0.621,1,0.56,
0.724,0.723,0.953,0.593,
0.712,0.691,0.888,0.615,
0.525,0.486,1,0.405,
0.67,0.639,0.997,0.548,
0.633,0.598,1,0.559,
0.555,0.501,1,0.435,
0.57,0.546,1,0.456,
0.712,0.684,1,0.636,
0.714,0.703,0.975,0.602,
0.743,0.708,1,0.654,
0.673,0.639,1,0.585,
0.582,0.558,1,0.443,
0.585,0.554,1,0.484,
0.666,0.631,1,0.601,
0.666,0.657,0.844,0.536,
0.585,0.558,1,0.464,
0.64,0.611,1,0.551,
0.648,0.619,1,0.559,
0.582,0.556,1,0.474,
0.629,0.589,0.983,0.52,
0.617,0.589,1,0.514,
0.705,0.702,0.864,0.629,
0.566,0.542,1,0.434,
0.624,0.587,1,0.535,
0.585,0.552,0.978,0.486,
0.789,0.8,0.947,0.619,
0.588,0.543,1,0.52,
0.616,0.619,0.792,0.508,
0.684,0.665,0.861,0.634,
0.668,0.634,1,0.58,
0.639,0.597,1,0.556,
0.627,0.605,0.962,0.497,
0.65,0.621,0.83,0.565,
0.622,0.589,1,0.531,
0.662,0.631,1,0.57,
0.71,0.694,0.824,0.618,
0.681,0.661,0.966,0.595,
0.619,0.602,0.955,0.507,
0.751,0.74,1,0.631,
0.646,0.629,0.827,0.557,
0.646,0.625,0.973,0.525,
0.637,0.595,1,0.551,
0.657,0.629,1,0.52,
0.657,0.623,1,0.573,
0.662,0.661,0.865,0.531,
0.61,0.567,1,0.491,
0.652,0.623,1,0.536,
0.646,0.599,0.998,0.529,
0.711,0.675,0.902,0.635,
0.643,0.621,0.993,0.493,
0.576,0.533,1,0.465,
0.714,0.685,0.934,0.62,
0.744,0.72,0.98,0.625,
0.631,0.594,0.941,0.55,
0.626,0.591,1,0.515,
0.671,0.645,1,0.591,
0.64,0.641,0.823,0.57,
0.594,0.564,1,0.5,
0.674,0.663,0.922,0.554,
0.656,0.641,0.859,0.573,
0.653,0.636,0.999,0.556,
0.644,0.595,1,0.557,
0.732,0.72,0.993,0.628,
0.656,0.623,1,0.576,
0.669,0.642,1,0.571,
0.658,0.649,0.755,0.593,
0.556,0.526,1,0.422,
0.585,0.528,1,0.488,
0.683,0.649,1,0.597,
0.657,0.627,0.961,0.567,
0.712,0.691,0.893,0.657,
0.62,0.571,1,0.496,
0.633,0.611,0.955,0.527,
0.701,0.677,0.973,0.598,
0.659,0.627,1,0.568,
0.715,0.696,0.986,0.6,
0.613,0.573,1,0.504,
0.582,0.54,1,0.477,
0.624,0.581,1,0.538,
0.65,0.617,0.947,0.515,
0.515,0.456,1,0.409,
0.651,0.617,1,0.541,
0.728,0.712,0.911,0.64,
0.589,0.55,1,0.462,
0.675,0.635,1,0.586,
0.652,0.604,1,0.57,
0.721,0.69,0.998,0.628,
0.602,0.552,0.999,0.467,
0.566,0.528,1,0.458,
0.664,0.634,1,0.578,
0.619,0.584,1,0.544,
0.667,0.635,1,0.569,
0.633,0.591,1,0.556,
0.738,0.71,0.994,0.67,
0.587,0.535,1,0.468,
0.639,0.607,1,0.535,
0.62,0.6,0.865,0.553,
0.798,0.778,0.936,0.718,
0.637,0.599,1,0.559,
0.622,0.591,1,0.485,
0.704,0.669,1,0.62,
0.668,0.636,1,0.578,
0.628,0.612,1,0.5,
0.69,0.661,0.969,0.606,
0.733,0.712,0.908,0.658,
0.662,0.643,0.87,0.574,
0.57,0.515,1,0.447,
0.595,0.544,1,0.514,
0.692,0.671,1,0.595,
0.644,0.617,0.846,0.558,
0.64,0.605,1,0.547,
0.658,0.618,1,0.578,
0.611,0.556,1,0.53,
0.688,0.674,0.8,0.62,
0.574,0.528,1,0.482,
0.599,0.542,1,0.449,
0.655,0.619,1,0.568,
0.746,0.726,0.977,0.627,
0.607,0.568,1,0.49,
0.656,0.633,1,0.548,
0.685,0.671,0.798,0.591,
0.723,0.71,0.828,0.641,
0.742,0.721,0.925,0.622,
0.646,0.643,0.836,0.569,
0.771,0.75,0.952,0.702,
0.646,0.62,0.963,0.557,
0.655,0.612,1,0.581,
0.627,0.59,0.96,0.549,
0.578,0.518,1,0.489,
0.573,0.511,0.956,0.463,
0.724,0.726,0.968,0.596,
0.71,0.692,0.899,0.664,
0.592,0.554,0.995,0.477,
0.653,0.623,1,0.551,
0.631,0.631,0.775,0.553,
0.675,0.647,1,0.573,
0.622,0.566,1,0.547,
0.692,0.657,0.994,0.582,
0.646,0.619,1,0.561,
0.683,0.661,1,0.569,
0.68,0.661,0.966,0.552,
0.632,0.595,1,0.513,
0.591,0.556,1,0.459,
0.681,0.669,0.9,0.57,
0.705,0.7,0.846,0.574,
0.542,0.504,1,0.419,
0.637,0.605,0.94,0.558,
0.611,0.579,1,0.463,
0.744,0.732,0.994,0.571,
0.568,0.529,1,0.423,
0.608,0.571,1,0.507,
0.736,0.702,1,0.643,
0.593,0.565,1,0.484,
0.656,0.629,1,0.582,
0.685,0.683,0.872,0.586,
0.674,0.633,1,0.581,
0.639,0.605,1,0.551,
0.688,0.681,0.839,0.565,
0.656,0.638,1,0.537,
0.574,0.548,1,0.471,
0.665,0.625,1,0.604,
0.673,0.647,0.862,0.606,
0.732,0.693,1,0.629,
0.655,0.619,1,0.575,
0.675,0.633,1,0.591,
0.742,0.716,0.976,0.651,
0.677,0.659,0.955,0.578,
0.644,0.616,1,0.554,
0.574,0.523,1,0.479,
0.773,0.74,0.914,0.72,
0.672,0.63,1,0.603,
0.643,0.601,0.984,0.564,
0.637,0.614,1,0.502,
0.7,0.693,0.96,0.559,
0.711,0.708,0.894,0.649,
0.57,0.522,1,0.448,
0.645,0.601,1,0.579,
0.698,0.647,1,0.607,
0.688,0.669,0.928,0.587,
0.622,0.583,1,0.492,
0.531,0.486,1,0.418,
0.636,0.635,0.728,0.55,
0.757,0.718,0.909,0.693,
0.661,0.629,1,0.563,
0.683,0.655,1,0.578,
0.658,0.625,1,0.567,
0.704,0.671,1,0.605,
0.695,0.673,0.93,0.599,
0.674,0.647,1,0.579,
0.71,0.706,0.975,0.577,
0.609,0.57,1,0.496,
0.608,0.571,1,0.515,
0.658,0.637,0.919,0.564,
0.584,0.534,1,0.494,
0.675,0.647,1,0.552,
0.736,0.712,0.983,0.622,
0.595,0.55,1,0.498,
0.589,0.547,1,0.453,
0.661,0.647,1,0.568,
0.653,0.637,0.903,0.529,
0.678,0.653,0.872,0.583,
0.571,0.522,1,0.487,
0.69,0.639,1,0.612,
0.588,0.554,1,0.496,
0.649,0.625,1,0.54,
0.569,0.528,1,0.461,
0.606,0.559,1,0.527,
0.7,0.671,0.971,0.624,
0.697,0.657,1,0.632,
0.694,0.684,0.901,0.592,
0.608,0.581,1,0.481,
0.68,0.655,0.962,0.601,
0.748,0.76,0.844,0.653,
0.602,0.593,0.796,0.51,
