

Data analysis for each instance 
AVG,MED,MAX,MIN
0.282,0.283,0.42,-0.06,
0.272,0.297,0.411,-0.124,
0.126,0.13,0.22,0.033,
0.226,0.246,0.348,0.047,
0.247,0.264,0.373,-0.066,
0.151,0.153,0.365,-0.05,
0.095,0.078,0.234,-0.002,
0.219,0.264,0.323,-0.236,
0.257,0.283,0.356,0.066,
0.367,0.408,0.488,-0.027,
0.221,0.221,0.446,0.071,
0.115,0.108,0.347,-0.022,
0.193,0.195,0.302,0.091,
0.311,0.338,0.426,-0.141,
0.342,0.403,0.456,-0.077,
0.145,0.155,0.21,0.001,
0.186,0.197,0.237,0.05,
0.287,0.321,0.36,-0.068,
0.108,0.163,0.225,-0.154,
0.157,0.173,0.261,-0.021,
0.228,0.237,0.35,0.029,
0.308,0.359,0.414,-0.062,
0.093,0.097,0.226,-0.044,
0.281,0.297,0.363,0.107,
0.34,0.377,0.448,-0.073,
0.248,0.262,0.309,0.024,
0.194,0.197,0.242,0.117,
0.314,0.357,0.411,-0.045,
0.123,0.139,0.193,-0.021,
0.276,0.307,0.39,0.046,
0.373,0.465,0.513,-0.047,
0.341,0.379,0.478,-0.112,
-0.079,-0.06,0.09,-0.218,
0.193,0.22,0.292,-0.003,
0.214,0.236,0.27,0.035,
0.033,0.017,0.385,-0.142,
0.108,0.11,0.188,-0.009,
0.182,0.192,0.329,0.015,
0.225,0.259,0.349,-0.025,
0.309,0.339,0.414,0.064,
0.158,0.158,0.238,0.058,
0.071,0.108,0.271,-0.103,
0.123,0.144,0.193,0.018,
0.197,0.199,0.285,0.062,
0.284,0.349,0.435,-0.156,
0.144,0.124,0.305,-0.011,
0.188,0.192,0.253,0.123,
0.254,0.266,0.331,0.059,
0.095,0.106,0.462,-0.042,
0.081,0.042,0.377,-0.026,
0.135,0.153,0.196,0.032,
0.266,0.299,0.382,-0.136,
0.105,0.115,0.27,-0.086,
0.235,0.255,0.304,0.144,
0.12,0.134,0.215,-0.022,
0.314,0.359,0.432,-0.053,
0.166,0.175,0.203,0.078,
0.269,0.314,0.442,-0.208,
0.304,0.35,0.413,-0.139,
0.247,0.265,0.32,0.046,
0.211,0.211,0.29,0.073,
0.08,0.112,0.191,-0.041,
0.239,0.263,0.391,-0.17,
0.154,0.178,0.219,0.094,
0.277,0.287,0.346,0.141,
0.235,0.294,0.419,-0.193,
0.14,0.162,0.211,-0.034,
0.117,0.128,0.219,-0.045,
0.366,0.417,0.457,0.003,
0.168,0.224,0.279,-0.173,
0.231,0.282,0.323,-0.027,
0.187,0.2,0.282,0.096,
0.095,0.098,0.199,-0.042,
0.233,0.237,0.328,0.012,
0.223,0.288,0.371,-0.135,
0.154,0.124,0.291,0.073,
0.236,0.264,0.303,0.068,
0.203,0.198,0.348,-0.002,
0.296,0.332,0.428,-0.098,
0.117,0.125,0.304,-0.07,
0.098,0.091,0.305,-0.049,
0.248,0.293,0.394,-0.066,
0.288,0.289,0.431,-0.02,
0.127,0.141,0.216,-0.059,
0.192,0.225,0.295,0.032,
0.259,0.284,0.314,0.031,
0.283,0.354,0.4,-0.177,
0.137,0.162,0.194,0.054,
0.245,0.295,0.339,-0.078,
0.246,0.278,0.35,-0.141,
0.217,0.229,0.339,-0.001,
0.228,0.225,0.356,0.117,
0.316,0.327,0.429,-0.007,
0.143,0.146,0.257,0.051,
0.237,0.248,0.347,0.108,
0.212,0.251,0.329,-0.245,
0.029,0.061,0.271,-0.154,
-0,-0.026,0.116,-0.096,
0.17,0.191,0.263,0.016,
0.245,0.267,0.364,-0.039,
0.256,0.292,0.315,-0.107,
0.155,0.144,0.408,0.026,
0.165,0.198,0.253,-0.045,
0.296,0.332,0.376,-0.027,
0.235,0.247,0.321,0.1,
0.216,0.235,0.314,-0.014,
0.19,0.157,0.393,0.036,
0.106,0.093,0.294,-0.002,
0.319,0.331,0.407,0.156,
0.241,0.279,0.393,-0.053,
0.019,0,0.154,-0.097,
0.207,0.221,0.294,0.055,
0.399,0.461,0.516,-0.089,
0.09,0.115,0.162,-0.041,
0.223,0.259,0.35,0.001,
0.276,0.287,0.37,0.095,
0.271,0.28,0.358,-0.002,
0.104,0.115,0.234,-0.031,
0.051,0.071,0.155,-0.063,
0.208,0.231,0.285,0.013,
0.276,0.294,0.331,0.114,
0.237,0.25,0.337,0.112,
0.256,0.287,0.346,0.042,
0.279,0.308,0.381,-0.006,
0.085,0.083,0.27,-0.045,
0.191,0.22,0.303,0.022,
0.33,0.41,0.443,-0.135,
0.276,0.302,0.381,-0.064,
0.132,0.123,0.234,0.014,
0.242,0.263,0.333,0.107,
0.263,0.271,0.381,0.055,
0.162,0.181,0.246,0.023,
0.131,0.102,0.277,0.019,
0.275,0.303,0.373,-0.031,
0.319,0.365,0.447,-0.092,
0.292,0.31,0.422,-0.13,
0.079,0.042,0.386,-0.042,
0.073,0.058,0.148,0.016,
0.235,0.265,0.295,0.006,
0.276,0.306,0.435,-0.154,
0.175,0.183,0.264,0.061,
0.235,0.249,0.341,0.061,
0.205,0.216,0.31,0.093,
0.318,0.376,0.426,-0.2,
0.134,0.121,0.229,0.073,
0.058,0.063,0.206,-0.13,
0.218,0.231,0.332,0.083,
0.298,0.335,0.396,-0.023,
0.182,0.194,0.221,0.078,
0.198,0.218,0.279,0.043,
0.393,0.456,0.522,-0.202,
0.253,0.301,0.389,-0.172,
0.412,0.457,0.519,-0.075,
0.295,0.358,0.422,-0.164,
0.278,0.308,0.374,-0.048,
0.115,0.121,0.232,-0.037,
0.215,0.222,0.303,0.037,
