

Data analysis for each instance 
AVG,MED,MAX,MIN
0.009,0.004,0.248,-0.17,
0.025,0.015,0.249,-0.142,
0.078,0.074,0.366,-0.145,
0.01,0.014,0.147,-0.146,
0.04,0.035,0.205,-0.123,
0.021,0.019,0.111,-0.14,
0.018,0.024,0.122,-0.11,
0.033,0.041,0.291,-0.135,
0.01,0.012,0.103,-0.099,
0.044,0.03,0.197,-0.115,
0.04,0.035,0.191,-0.083,
0.006,0.006,0.099,-0.118,
0.006,0,0.172,-0.122,
0.037,0.048,0.197,-0.114,
0.024,0.026,0.216,-0.105,
0,0.01,0.115,-0.127,
0.067,0.061,0.296,-0.091,
0.007,-0.005,0.316,-0.149,
0.015,0.013,0.133,-0.127,
0.015,0.011,0.267,-0.138,
0.032,0.032,0.179,-0.16,
0.005,0.014,0.187,-0.319,
0.02,0.018,0.179,-0.211,
0.033,0.018,0.235,-0.137,
0.038,0.013,0.272,-0.057,
0.014,0.021,0.265,-0.28,
0.042,0.044,0.199,-0.151,
0.032,0.005,0.162,-0.138,
0.011,0.002,0.145,-0.215,
0.03,0.055,0.163,-0.165,
0.01,0.007,0.13,-0.133,
0.028,0.028,0.185,-0.122,
0,-0.002,0.163,-0.088,
-0.007,-0.004,0.101,-0.143,
0.017,0.026,0.113,-0.201,
0.018,0.013,0.181,-0.08,
0.026,0.006,0.251,-0.213,
0,-0.02,0.212,-0.162,
0.032,0.038,0.109,-0.103,
0.029,0.019,0.183,-0.115,
0.017,0.022,0.29,-0.202,
0.019,0.019,0.223,-0.105,
0.073,0.054,0.318,-0.075,
-0.008,-0.021,0.18,-0.12,
-0.02,-0.028,0.156,-0.166,
0.035,0.021,0.153,-0.085,
0.016,0.01,0.241,-0.141,
-0.027,-0.027,0.129,-0.229,
0.007,-0.002,0.168,-0.106,
0.025,0.019,0.109,-0.067,
0.007,0.007,0.176,-0.201,
0.02,0.015,0.139,-0.219,
0.01,0.017,0.261,-0.209,
0.011,0.011,0.214,-0.221,
0.009,0.007,0.176,-0.156,
0.036,0.04,0.177,-0.139,
0.017,0.018,0.138,-0.082,
-0.005,-0.013,0.116,-0.159,
0.019,0.011,0.217,-0.135,
0.032,0.005,0.241,-0.11,
0.013,0.013,0.185,-0.152,
0.006,0.004,0.154,-0.156,
0.018,0.032,0.267,-0.244,
0.024,0.005,0.341,-0.203,
0.019,0.01,0.457,-0.13,
-0.029,-0.049,0.164,-0.155,
0.064,0.08,0.294,-0.163,
0.035,0.026,0.29,-0.15,
0.017,0.016,0.134,-0.2,
0.011,0.006,0.2,-0.125,
0.034,0.036,0.199,-0.221,
0.023,0.022,0.171,-0.182,
0.009,0.042,0.245,-0.349,
0.032,0.029,0.156,-0.125,
0.051,0.054,0.162,-0.08,
0.026,0.017,0.304,-0.107,
0.026,0.028,0.176,-0.177,
0.034,0.037,0.125,-0.088,
0.022,0.028,0.25,-0.135,
0.056,0.053,0.235,-0.104,
-0.004,0.013,0.162,-0.271,
0.028,0.005,0.304,-0.218,
-0.018,-0.044,0.25,-0.253,
0.022,0.042,0.139,-0.2,
-0.014,-0.01,0.171,-0.175,
0.002,-0.007,0.129,-0.137,
0.022,0.074,0.225,-0.445,
-0.001,0.001,0.189,-0.137,
-0.021,-0.039,0.153,-0.181,
0.019,0.033,0.106,-0.113,
0.002,-0.018,0.148,-0.093,
0.013,0.006,0.166,-0.098,
0.036,0.028,0.128,-0.05,
0.01,0,0.117,-0.08,
0.016,0.025,0.19,-0.141,
-0.028,-0.03,0.184,-0.147,
0.012,0.031,0.131,-0.212,
0.012,0.013,0.294,-0.179,
0.014,0.017,0.163,-0.169,
0.03,0.016,0.202,-0.085,
0.026,0.028,0.209,-0.159,
0.009,0.009,0.083,-0.072,
-0.011,-0.015,0.123,-0.183,
0.003,-0.009,0.208,-0.163,
0.025,-0.002,0.254,-0.109,
0.024,0.027,0.15,-0.079,
0.001,0.011,0.097,-0.108,
0.023,0.023,0.149,-0.154,
-0.01,-0.005,0.175,-0.27,
0.023,0.025,0.201,-0.111,
0.017,0.022,0.207,-0.286,
0.011,0.003,0.181,-0.138,
0.04,0.043,0.251,-0.176,
0.038,0.024,0.2,-0.166,
0.004,0.011,0.26,-0.422,
0.03,0.025,0.236,-0.182,
-0.005,0.013,0.252,-0.278,
-0.001,0.023,0.163,-0.15,
0.061,0.048,0.492,-0.176,
0.024,0.034,0.204,-0.147,
0.006,0.013,0.337,-0.224,
0.028,-0,0.203,-0.146,
-0.004,-0.028,0.141,-0.104,
0.011,0.024,0.378,-0.407,
0.001,-0.011,0.3,-0.185,
0.019,0.014,0.126,-0.073,
0.038,0.028,0.196,-0.119,
0.038,0.059,0.165,-0.136,
0.017,0.016,0.19,-0.178,
0.02,0.012,0.238,-0.135,
0.022,0.018,0.177,-0.113,
0.035,0.037,0.171,-0.107,
0.02,0.03,0.159,-0.153,
0.007,0.021,0.076,-0.074,
0.02,0.009,0.174,-0.104,
0.007,-0.005,0.194,-0.221,
0.009,0.002,0.22,-0.149,
0.012,0.007,0.172,-0.106,
-0.003,0.014,0.124,-0.235,
-0.008,-0.01,0.109,-0.108,
0.033,0.045,0.128,-0.108,
-0.024,-0.029,0.12,-0.122,
0.021,0.018,0.145,-0.107,
0.025,0.021,0.169,-0.118,
0.01,-0.006,0.306,-0.147,
0.067,0.056,0.259,-0.062,
0.04,0.035,0.322,-0.174,
-0.001,-0.006,0.144,-0.172,
0.085,0.036,0.359,-0.081,
0.052,0.06,0.18,-0.092,
0.016,0.008,0.372,-0.194,
0,0.023,0.177,-0.133,
0.002,-0.012,0.168,-0.138,
0.004,-0.011,0.37,-0.139,
-0,0.028,0.244,-0.503,
-0.004,-0.002,0.158,-0.129,
0.016,0.02,0.216,-0.181,
0.05,0.061,0.269,-0.122,
0.013,-0.019,0.239,-0.144,
0.012,0.015,0.161,-0.099,
0.045,0.041,0.26,-0.233,
0.006,0.009,0.099,-0.18,
0.023,0.031,0.16,-0.221,
0.013,0.019,0.098,-0.091,
0.014,0.019,0.141,-0.09,
0.032,0.03,0.214,-0.157,
0.01,0.007,0.172,-0.157,
0.01,0.015,0.231,-0.183,
-0.003,0.009,0.141,-0.221,
-0.004,-0.018,0.186,-0.171,
-0.009,0.005,0.122,-0.154,
-0.002,-0.007,0.154,-0.161,
0.012,0.001,0.197,-0.162,
0.06,0.061,0.249,-0.116,
0,0,0.135,-0.204,
0.026,0.032,0.215,-0.389,
0.009,0.008,0.179,-0.111,
0.012,0.004,0.197,-0.203,
0.001,0.008,0.231,-0.322,
0.006,0.01,0.164,-0.125,
0.022,0.037,0.137,-0.149,
0.018,0.003,0.191,-0.074,
0.014,0.014,0.194,-0.256,
0.013,0.024,0.129,-0.144,
-0.001,-0,0.272,-0.16,
0.034,0.04,0.374,-0.357,
-0.01,-0.006,0.237,-0.187,
0.027,-0.01,0.303,-0.118,
0.023,0.024,0.331,-0.419,
-0.002,-0.004,0.172,-0.226,
0.016,0.021,0.124,-0.148,
0.016,0.022,0.196,-0.16,
0.027,0.036,0.18,-0.106,
0.032,0.043,0.184,-0.072,
0.002,0.019,0.17,-0.202,
0.024,0.019,0.149,-0.088,
0.044,0.056,0.25,-0.138,
-0.009,-0,0.165,-0.182,
0.014,0.012,0.142,-0.139,
0.006,-0.004,0.369,-0.202,
-0.015,-0.018,0.19,-0.251,
0.041,0.021,0.32,-0.155,
0.013,0.005,0.143,-0.177,
0.001,-0.01,0.134,-0.165,
0.028,0.016,0.262,-0.17,
0.041,0.029,0.22,-0.059,
0.017,0.01,0.239,-0.182,
0.003,0.005,0.072,-0.1,
0.005,0.005,0.235,-0.172,
0.041,0.04,0.246,-0.14,
0.032,0.041,0.143,-0.093,
0.017,0.025,0.124,-0.106,
-0.023,-0.013,0.107,-0.215,
0.03,0.028,0.158,-0.088,
0.012,0.028,0.12,-0.105,
0.016,0.015,0.323,-0.124,
0.043,0.04,0.162,-0.06,
0.042,0.03,0.199,-0.082,
0.004,-0.002,0.23,-0.108,
0.014,0.019,0.17,-0.137,
0.023,0.027,0.171,-0.197,
0.027,0.022,0.201,-0.096,
0.012,-0.007,0.377,-0.181,
0.002,0.013,0.093,-0.121,
0.016,0.018,0.107,-0.065,
0.001,-0.009,0.208,-0.174,
-0.009,-0.001,0.074,-0.145,
-0.028,-0.038,0.112,-0.136,
-0.004,-0.002,0.273,-0.212,
0.016,0.01,0.207,-0.128,
0.05,0.056,0.329,-0.271,
0.021,0.017,0.182,-0.107,
0.014,0.01,0.322,-0.191,
0.011,0.013,0.456,-0.267,
0.029,0.029,0.221,-0.102,
0.015,0.023,0.109,-0.103,
0.011,0.016,0.126,-0.129,
-0.032,-0.036,0.359,-0.231,
0.047,0.041,0.236,-0.121,
0.016,0.026,0.2,-0.097,
0.007,0.012,0.2,-0.127,
-0.008,-0.01,0.111,-0.156,
0.025,0.025,0.152,-0.084,
0.025,0.025,0.189,-0.092,
0.007,0.001,0.144,-0.098,
0.017,0.019,0.165,-0.156,
0.016,0.003,0.174,-0.127,
0.02,0.028,0.203,-0.156,
-0.024,-0.005,0.219,-0.356,
0.002,0,0.157,-0.121,
0.041,0.025,0.231,-0.064,
0.007,0.011,0.149,-0.181,
0.019,0.012,0.157,-0.123,
-0.016,-0.023,0.199,-0.178,
-0,-0,0.173,-0.128,
0.081,0.052,0.499,-0.11,
0.012,0.005,0.179,-0.104,
