

Data analysis for each instance 
AVG,MED,MAX,MIN
-0.15,-0.129,-0.067,-0.274,
0.105,0.07,0.22,0.036,
0.156,0.095,0.344,0.018,
0.131,0.122,0.3,0.01,
-0.006,0.029,0.215,-0.209,
0.053,0.032,0.257,-0.108,
0.062,0.12,0.224,-0.211,
0.064,0.069,0.238,-0.163,
-0.12,-0.112,0.074,-0.321,
0.088,0.114,0.276,-0.29,
0.175,0.185,0.281,0.094,
0.07,0.079,0.243,-0.131,
-0.268,-0.291,-0.139,-0.38,
0.125,0.135,0.227,-0.06,
0.114,0.127,0.266,-0.129,
-0.218,-0.209,-0.1,-0.374,
0.181,0.201,0.371,-0.025,
0.121,0.148,0.223,-0.058,
0.103,0.132,0.246,-0.019,
0.108,0.077,0.285,-0.018,
0.03,0.042,0.209,-0.16,
-0.187,-0.175,-0.103,-0.271,
-0.142,-0.145,-0.033,-0.235,
0.027,0.073,0.154,-0.208,
0.106,0.095,0.255,-0.127,
0.164,0.179,0.351,-0.04,
0.189,0.189,0.385,0.033,
0.159,0.185,0.282,0.01,
0.129,0.117,0.297,0.053,
-0.227,-0.242,-0.099,-0.349,
0.126,0.1,0.279,0.016,
0.033,0.024,0.249,-0.123,
0.083,0.121,0.223,-0.237,
0.134,0.152,0.24,-0.021,
0.081,0.11,0.328,-0.23,
0.123,0.142,0.298,-0.113,
0.068,0.066,0.19,-0.005,
0.154,0.165,0.306,-0.012,
0.08,0.084,0.242,-0.087,
0.108,0.116,0.226,-0.002,
0.077,0.032,0.24,-0.023,
0.138,0.164,0.277,-0.098,
0.139,0.146,0.27,0.017,
0.185,0.165,0.421,0.033,
0.023,0.042,0.263,-0.199,
0.135,0.152,0.243,0.016,
0.151,0.188,0.251,0.001,
0.055,0.02,0.203,-0.049,
0.123,0.066,0.389,-0.034,
0.05,0.054,0.133,-0.072,
0.123,0.178,0.24,-0.09,
-0.198,-0.191,-0.088,-0.35,
0.073,0.062,0.2,-0.056,
-0.186,-0.203,-0.084,-0.287,
-0.158,-0.155,0.129,-0.315,
0.148,0.13,0.276,-0.012,
0.186,0.218,0.325,-0.027,
-0.223,-0.253,-0.094,-0.299,
-0.252,-0.27,-0.154,-0.311,
0.118,0.165,0.243,-0.07,
0.17,0.193,0.299,-0.01,
-0.178,-0.15,-0.096,-0.295,
0.201,0.241,0.327,0.036,
0.052,0.054,0.247,-0.131,
0.044,0.07,0.181,-0.172,
0.127,0.134,0.276,-0.02,
0.109,0.119,0.309,-0.106,
-0.307,-0.332,-0.16,-0.398,
0.152,0.124,0.335,0.017,
0.084,0.067,0.351,-0.09,
0.054,0.1,0.148,-0.109,
