

Data analysis for each instance 
AVG,MED,MAX,MIN
0.003,-0.038,0.475,-0.187,
0.081,0.1,0.141,-0.093,
-0.133,-0.141,-0.018,-0.237,
0.491,0.535,0.618,0.143,
0.117,0.103,0.313,-0.14,
-0.063,-0.058,0.043,-0.18,
-0.219,-0.249,0,-0.464,
-0.052,-0.044,0.103,-0.175,
0.429,0.498,0.553,-0.086,
0.175,0.197,0.315,0.023,
-0.137,-0.096,-0.015,-0.379,
-0.142,-0.115,0,-0.355,
0.369,0.421,0.472,0.044,
-0.041,-0.065,0.282,-0.17,
0.003,-0.023,0.26,-0.132,
0.458,0.484,0.59,0.129,
0.336,0.386,0.429,0.053,
0.121,0.132,0.211,-0.006,
-0.031,-0.031,0.253,-0.398,
-0.045,-0.032,0.111,-0.223,
0.489,0.52,0.58,0.161,
-0.179,-0.229,0.244,-0.339,
-0.207,-0.186,-0.05,-0.335,
0.309,0.342,0.431,-0.029,
-0.07,-0.093,0.182,-0.197,
0.508,0.548,0.654,0.129,
0.394,0.431,0.47,0.097,
-0.095,-0.164,0.458,-0.37,
0.017,0.011,0.236,-0.136,
0.354,0.425,0.483,-0.236,
0.123,0.13,0.163,0.028,
0.06,0.032,0.371,-0.085,
0.109,0.102,0.269,-0.029,
0.392,0.458,0.545,0.071,
0.504,0.534,0.598,0.115,
-0.128,-0.131,-0.053,-0.26,
-0.079,-0.052,0.032,-0.401,
0.413,0.444,0.507,0.188,
0.032,0.053,0.15,-0.094,
-0.084,-0.119,0.388,-0.268,
-0.101,-0.074,0.058,-0.332,
0.123,0.191,0.405,-0.348,
0.006,-0.041,0.27,-0.277,
0.344,0.417,0.573,-0.079,
0.057,0.077,0.135,-0.06,
-0.159,-0.172,-0.053,-0.237,
0.337,0.356,0.429,0.171,
0.535,0.579,0.663,0.059,
0.113,0.159,0.252,-0.363,
-0.196,-0.216,-0.055,-0.299,
0.514,0.597,0.624,0.139,
0.193,0.19,0.372,0.02,
0.093,0.12,0.399,-0.344,
0.453,0.477,0.54,0.336,
0.373,0.42,0.449,0.11,
0.036,-0.029,0.365,-0.122,
0.397,0.394,0.546,0.098,
0.071,0.057,0.412,-0.113,
-0.004,0.009,0.154,-0.198,
0.394,0.427,0.499,0.141,
0.43,0.48,0.547,-0.017,
-0.022,-0.014,0.193,-0.268,
0.057,0.044,0.175,-0.05,
-0.057,-0.053,0.145,-0.207,
0.55,0.593,0.636,0.243,
0.045,0.044,0.219,-0.113,
-0.214,-0.222,-0.057,-0.452,
0.212,0.262,0.347,-0.139,
0.013,-0.003,0.207,-0.158,
0.05,0.053,0.198,-0.166,
0.158,0.186,0.323,-0.093,
0.486,0.518,0.58,0.174,
0.064,0.087,0.154,-0.193,
0.429,0.467,0.533,0.115,
0.099,0.113,0.264,-0.058,
-0.045,-0.025,0.06,-0.218,
0.429,0.477,0.53,0,
0.425,0.495,0.565,-0.09,
-0.057,-0.066,0.073,-0.208,
0.066,0.16,0.261,-0.308,
0.052,0.03,0.196,-0.077,
0.001,-0.015,0.262,-0.162,
0.051,0.063,0.21,-0.099,
0.032,0.112,0.25,-0.209,
0.486,0.539,0.604,0.086,
0.409,0.466,0.516,0.119,
-0.005,-0.083,0.239,-0.141,
-0.061,-0.06,0.085,-0.265,
0.02,-0.001,0.198,-0.17,
0.067,0.062,0.277,-0.087,
0.405,0.421,0.512,0.233,
0.499,0.532,0.588,0.161,
0.141,0.125,0.273,0.051,
-0.288,-0.302,-0.073,-0.436,
0.482,0.567,0.636,-0.184,
0.038,0.026,0.259,-0.119,
0.111,0.148,0.197,-0.087,
-0.015,-0.017,0.205,-0.35,
0.437,0.452,0.556,0.205,
0.418,0.432,0.546,0.168,
0.164,0.174,0.294,0.042,
-0.162,-0.182,0.051,-0.336,
0.515,0.558,0.638,0.133,
0.023,-0.082,0.379,-0.221,
0.359,0.389,0.472,0.054,
-0.068,-0.096,0.251,-0.36,
-0.158,-0.131,-0.066,-0.342,
-0.055,-0.08,0.11,-0.179,
0.479,0.508,0.577,0.165,
0.149,0.161,0.292,-0.058,
-0.034,-0.018,0.181,-0.443,
0.373,0.417,0.465,0.162,
-0.063,-0.099,0.286,-0.26,
0.121,0.182,0.264,-0.153,
0.479,0.51,0.567,0.202,
0.477,0.526,0.583,0.084,
0.154,0.153,0.23,0.046,
0.079,0.089,0.269,-0.279,
-0.14,-0.104,0.047,-0.321,
0.441,0.413,0.628,0.236,
0.376,0.407,0.473,0.108,
0.211,0.23,0.345,0.03,
0.489,0.542,0.601,0.073,
-0.097,-0.138,0.342,-0.234,
-0.273,-0.259,-0.166,-0.371,
0.492,0.528,0.577,0.154,
0.036,-0.001,0.169,-0.066,
0.083,0.095,0.316,-0.098,
-0.225,-0.245,-0.138,-0.315,
0.546,0.621,0.657,-0.031,
0.07,0.065,0.255,-0.131,
-0.129,-0.15,0.074,-0.256,
0.44,0.472,0.565,0.142,
0.201,0.203,0.276,0.058,
-0.033,-0.034,0.407,-0.231,
0.035,0.091,0.183,-0.154,
0.086,0.142,0.204,-0.183,
-0.177,-0.151,-0.038,-0.402,
0.493,0.516,0.547,0.323,
-0.043,-0.002,0.094,-0.247,
0.069,0.091,0.189,-0.083,
0.406,0.435,0.497,0.205,
0.473,0.528,0.582,0.24,
-0.053,-0.057,0.161,-0.236,
-0.119,-0.149,0.014,-0.227,
0.133,0.16,0.235,-0.181,
0.424,0.498,0.567,-0.02,
0.15,0.163,0.249,0.014,
-0.144,-0.18,0.043,-0.277,
0.457,0.511,0.562,-0.092,
0.148,0.134,0.287,-0.037,
-0.031,-0.096,0.246,-0.189,
0.072,0.09,0.254,-0.133,
0.097,0.116,0.43,-0.156,
-0.099,-0.092,0.053,-0.266,
-0.121,-0.154,0.004,-0.224,
0.497,0.54,0.591,0.189,
-0.09,-0.045,-0.009,-0.263,
0.001,0.003,0.226,-0.216,
-0.096,-0.112,0.142,-0.24,
0.005,0.002,0.153,-0.104,
0.053,-0.001,0.321,-0.039,
0.077,0.096,0.304,-0.139,
0.484,0.537,0.561,0.134,
-0.044,-0.056,0.318,-0.273,
-0.078,-0.093,0.107,-0.22,
-0.108,-0.103,0.028,-0.227,
0.428,0.455,0.517,0.277,
0.317,0.324,0.467,0.166,
0.462,0.516,0.595,0.046,
0.053,0.1,0.232,-0.152,
-0.207,-0.213,-0.031,-0.377,
0.331,0.342,0.446,0.148,
0.115,0.111,0.275,0.017,
