

Data analysis for each instance 
AVG,MED,MAX,MIN
0.555,0.502,1,0.463,
0.607,0.567,1,0.514,
0.484,0.447,0.847,0.379,
0.698,0.663,1,0.614,
0.617,0.57,1,0.524,
0.486,0.436,0.88,0.39,
0.483,0.429,0.814,0.405,
0.589,0.534,1,0.503,
0.666,0.637,0.969,0.574,
0.572,0.535,1,0.461,
0.451,0.4,0.861,0.368,
0.544,0.5,0.883,0.453,
0.654,0.617,1,0.561,
0.557,0.497,1,0.445,
0.587,0.546,1,0.49,
0.646,0.621,1,0.56,
0.672,0.627,1,0.589,
0.598,0.546,1,0.51,
0.504,0.469,0.789,0.401,
0.467,0.431,0.779,0.38,
0.693,0.657,1,0.593,
0.546,0.5,1,0.447,
0.504,0.467,0.837,0.412,
0.617,0.581,1,0.487,
0.581,0.544,1,0.465,
0.639,0.599,1,0.554,
0.597,0.54,1,0.502,
0.55,0.507,1,0.419,
0.419,0.382,0.75,0.331,
0.612,0.587,0.918,0.518,
0.526,0.482,1,0.401,
0.528,0.475,1,0.429,
0.475,0.435,0.823,0.391,
0.614,0.57,1,0.506,
0.718,0.683,1,0.656,
0.518,0.481,0.925,0.406,
0.512,0.487,0.841,0.421,
0.667,0.633,1,0.562,
0.543,0.49,1,0.44,
0.477,0.426,1,0.351,
0.462,0.414,0.853,0.38,
0.509,0.461,0.813,0.432,
0.496,0.462,0.877,0.396,
0.63,0.596,0.939,0.56,
0.546,0.509,1,0.401,
0.458,0.414,0.815,0.371,
0.604,0.555,1,0.517,
0.676,0.644,1,0.598,
0.482,0.443,0.748,0.4,
0.536,0.497,0.9,0.446,
0.679,0.639,1,0.605,
0.632,0.591,1,0.538,
0.474,0.435,0.796,0.401,
0.619,0.579,1,0.535,
0.692,0.668,1,0.597,
0.52,0.457,1,0.44,
0.722,0.695,1,0.618,
0.488,0.429,1,0.376,
0.523,0.463,1,0.392,
0.595,0.548,1,0.496,
0.699,0.663,0.989,0.617,
0.511,0.45,1,0.416,
0.521,0.458,1,0.412,
0.484,0.437,0.858,0.391,
0.643,0.611,1,0.567,
0.562,0.525,1,0.442,
0.497,0.451,0.874,0.39,
0.536,0.497,0.985,0.438,
0.623,0.593,1,0.523,
0.536,0.475,1,0.433,
0.572,0.542,1,0.464,
0.63,0.59,1,0.529,
0.561,0.521,0.897,0.48,
0.64,0.618,1,0.537,
0.627,0.594,1,0.53,
0.504,0.474,0.863,0.416,
0.682,0.648,1,0.587,
0.648,0.628,0.852,0.539,
0.537,0.491,1,0.43,
0.484,0.451,0.807,0.401,
0.483,0.447,0.815,0.382,
0.599,0.56,1,0.499,
0.516,0.467,1,0.392,
0.464,0.432,0.75,0.379,
0.653,0.618,0.988,0.56,
0.646,0.609,1,0.588,
0.515,0.462,1,0.41,
0.491,0.445,0.867,0.423,
0.539,0.488,1,0.449,
0.552,0.502,1,0.437,
0.695,0.681,1,0.579,
0.647,0.621,1,0.527,
0.584,0.519,1,0.463,
0.485,0.433,0.857,0.394,
0.627,0.602,0.936,0.547,
0.511,0.465,1,0.395,
0.509,0.498,0.765,0.409,
0.488,0.446,0.78,0.409,
0.626,0.589,1,0.546,
0.595,0.549,1,0.498,
0.609,0.569,1,0.496,
0.504,0.449,0.896,0.428,
0.65,0.608,1,0.549,
0.522,0.458,1,0.41,
0.633,0.596,1,0.542,
0.495,0.462,0.786,0.421,
0.48,0.445,0.855,0.396,
0.515,0.47,0.852,0.436,
0.688,0.659,1,0.618,
0.535,0.494,1,0.415,
0.502,0.456,0.804,0.417,
0.62,0.581,1,0.515,
0.518,0.465,1,0.397,
0.473,0.442,0.8,0.408,
0.636,0.589,1,0.526,
0.677,0.647,1,0.58,
0.495,0.439,1,0.403,
0.533,0.502,0.849,0.439,
0.458,0.431,0.808,0.362,
0.588,0.552,1,0.487,
0.629,0.583,1,0.546,
0.621,0.577,1,0.508,
0.653,0.62,1,0.58,
0.55,0.494,1,0.42,
0.519,0.489,0.811,0.426,
0.671,0.643,1,0.576,
0.51,0.456,1,0.418,
0.589,0.548,1,0.461,
0.462,0.417,0.821,0.394,
0.669,0.641,0.944,0.587,
0.601,0.564,1,0.495,
0.491,0.452,0.835,0.421,
0.625,0.589,0.953,0.554,
0.55,0.496,1,0.42,
0.455,0.405,1,0.364,
0.54,0.477,1,0.456,
0.51,0.48,0.828,0.433,
0.463,0.429,0.753,0.392,
0.634,0.601,1,0.513,
0.566,0.521,1,0.435,
0.487,0.446,0.872,0.376,
0.629,0.595,1,0.536,
0.599,0.556,1,0.51,
0.555,0.504,1,0.454,
0.539,0.496,0.881,0.423,
0.49,0.458,0.787,0.412,
0.593,0.543,1,0.5,
0.552,0.501,1,0.45,
0.427,0.392,0.775,0.34,
0.658,0.631,0.997,0.531,
0.565,0.526,1,0.456,
0.521,0.469,1,0.4,
0.524,0.484,1,0.403,
0.478,0.412,1,0.387,
0.584,0.528,1,0.491,
0.456,0.403,0.831,0.364,
0.641,0.606,1,0.521,
0.457,0.407,0.831,0.369,
0.487,0.446,0.835,0.386,
0.487,0.46,0.82,0.395,
0.538,0.5,1,0.438,
0.547,0.489,1,0.431,
0.477,0.45,0.822,0.34,
0.671,0.642,1,0.592,
0.493,0.43,1,0.384,
0.498,0.445,0.92,0.412,
0.491,0.449,0.828,0.405,
0.663,0.629,1,0.579,
0.604,0.547,1,0.524,
0.675,0.631,1,0.603,
0.45,0.408,0.828,0.354,
0.468,0.425,0.842,0.363,
0.618,0.569,1,0.536,
0.518,0.463,1,0.39,
0.558,0.502,1,0.449,
0.5,0.469,0.759,0.442,
0.663,0.631,1,0.573,
0.643,0.596,1,0.535,
0.572,0.528,1,0.477,
0.538,0.483,0.956,0.418,
0.635,0.593,0.957,0.554,
0.556,0.504,1,0.467,
0.513,0.494,0.832,0.411,
0.669,0.643,1,0.578,
0.566,0.512,1,0.455,
0.492,0.443,0.881,0.402,
0.627,0.591,1,0.54,
0.622,0.575,1,0.541,
0.508,0.474,0.833,0.402,
0.525,0.488,0.86,0.451,
0.654,0.627,0.99,0.568,
0.648,0.605,0.921,0.524,
0.527,0.48,1,0.406,
0.619,0.582,0.938,0.526,
0.676,0.645,0.98,0.565,
0.508,0.457,1,0.404,
0.492,0.446,0.84,0.398,
0.488,0.447,0.872,0.392,
0.664,0.629,1,0.554,
0.493,0.429,1,0.37,
0.682,0.649,1,0.596,
0.469,0.429,0.822,0.382,
0.429,0.387,0.816,0.326,
0.672,0.638,1,0.601,
0.578,0.53,1,0.492,
0.546,0.504,0.852,0.453,
0.633,0.588,0.965,0.542,
0.717,0.7,0.984,0.601,
0.624,0.604,1,0.494,
0.465,0.427,0.786,0.395,
0.497,0.473,0.809,0.407,
0.625,0.567,1,0.524,
0.576,0.52,1,0.478,
0.491,0.45,0.82,0.392,
0.665,0.627,0.999,0.555,
0.698,0.655,1,0.615,
0.614,0.574,1,0.544,
0.544,0.496,1,0.451,
0.535,0.482,1,0.429,
0.65,0.589,1,0.558,
0.549,0.522,0.794,0.467,
0.624,0.575,1,0.518,
0.549,0.498,1,0.442,
0.468,0.432,0.832,0.39,
0.66,0.627,1,0.571,
0.535,0.476,1,0.452,
0.505,0.461,0.876,0.396,
0.528,0.49,0.858,0.456,
0.671,0.631,1,0.597,
0.587,0.546,1,0.472,
0.544,0.485,1,0.442,
0.461,0.418,0.796,0.395,
0.489,0.448,0.918,0.378,
0.636,0.599,1,0.547,
0.626,0.597,0.953,0.513,
0.463,0.425,0.82,0.377,
0.53,0.492,0.865,0.466,
0.683,0.652,1,0.59,
0.653,0.631,0.931,0.551,
0.536,0.484,1,0.416,
0.512,0.468,0.873,0.418,
0.656,0.639,0.909,0.552,
0.561,0.514,1,0.449,
0.577,0.535,1,0.459,
0.633,0.599,1,0.54,
0.642,0.592,1,0.555,
0.645,0.613,0.981,0.548,
0.505,0.462,0.94,0.385,
0.587,0.537,1,0.446,
0.542,0.492,1,0.427,
0.638,0.596,1,0.551,
0.668,0.647,0.981,0.546,
0.561,0.501,1,0.472,
0.495,0.457,0.838,0.423,
0.479,0.446,0.833,0.388,
0.602,0.569,0.957,0.514,
0.557,0.506,1,0.482,
0.483,0.421,1,0.377,
0.504,0.463,0.829,0.402,
0.635,0.595,1,0.542,
0.532,0.471,1,0.42,
0.506,0.459,0.837,0.411,
0.673,0.627,1,0.616,
0.514,0.448,1,0.413,
0.658,0.613,1,0.555,
0.534,0.479,1,0.453,
0.508,0.472,0.862,0.416,
0.493,0.457,0.851,0.401,
0.629,0.59,0.956,0.568,
0.531,0.487,1,0.408,
0.514,0.467,0.863,0.412,
0.672,0.644,0.999,0.593,
0.544,0.506,1,0.425,
0.539,0.494,1,0.434,
0.479,0.451,0.928,0.362,
0.528,0.498,0.843,0.444,
0.626,0.581,1,0.546,
0.526,0.46,1,0.412,
0.491,0.459,0.871,0.414,
0.665,0.616,0.984,0.584,
0.498,0.474,0.799,0.418,
0.475,0.443,0.757,0.376,
0.515,0.467,1,0.378,
0.523,0.468,1,0.415,
0.444,0.397,0.804,0.343,
0.683,0.651,0.939,0.631,
0.69,0.671,0.958,0.61,
0.535,0.481,1,0.429,
0.463,0.431,0.764,0.371,
0.526,0.487,0.926,0.435,
0.66,0.629,1,0.551,
0.592,0.54,1,0.456,
0.479,0.447,0.848,0.388,
0.637,0.584,1,0.571,
0.553,0.507,1,0.445,
0.533,0.484,0.871,0.448,
0.556,0.52,1,0.447,
0.47,0.425,0.855,0.385,
0.692,0.663,1,0.625,
0.65,0.612,1,0.529,
0.515,0.472,1,0.37,
0.451,0.399,0.85,0.374,
0.575,0.539,1,0.457,
0.587,0.538,1,0.474,
