

Data analysis for each instance 
AVG,MED,MAX,MIN
0.669,0.635,1,0.59,
0.729,0.698,1,0.664,
0.568,0.542,0.847,0.473,
0.862,0.857,1,0.794,
0.728,0.718,1,0.621,
0.564,0.534,0.88,0.468,
0.558,0.532,0.814,0.493,
0.686,0.657,1,0.603,
0.797,0.78,0.969,0.736,
0.672,0.643,1,0.594,
0.538,0.51,0.861,0.456,
0.655,0.631,0.883,0.593,
0.798,0.786,1,0.732,
0.655,0.613,1,0.596,
0.703,0.676,1,0.616,
0.772,0.754,1,0.724,
0.783,0.758,1,0.734,
0.716,0.695,1,0.649,
0.616,0.6,0.789,0.558,
0.565,0.544,0.779,0.5,
0.821,0.802,1,0.776,
0.651,0.621,1,0.554,
0.589,0.557,0.837,0.502,
0.762,0.745,1,0.685,
0.702,0.673,1,0.623,
0.769,0.744,1,0.686,
0.727,0.702,1,0.653,
0.655,0.617,1,0.574,
0.495,0.458,0.75,0.433,
0.732,0.734,0.918,0.65,
0.614,0.583,1,0.531,
0.618,0.577,1,0.549,
0.554,0.52,0.823,0.502,
0.742,0.715,1,0.692,
0.863,0.857,1,0.801,
0.631,0.61,0.925,0.549,
0.572,0.544,0.841,0.48,
0.83,0.812,1,0.78,
0.681,0.649,1,0.621,
0.547,0.491,1,0.451,
0.533,0.508,0.853,0.473,
0.605,0.59,0.813,0.532,
0.577,0.541,0.877,0.507,
0.754,0.734,0.939,0.703,
0.654,0.615,1,0.585,
0.554,0.534,0.815,0.482,
0.734,0.706,1,0.671,
0.793,0.772,1,0.747,
0.585,0.565,0.748,0.537,
0.64,0.615,0.9,0.572,
0.764,0.74,1,0.707,
0.738,0.722,1,0.647,
0.587,0.567,0.796,0.532,
0.741,0.714,1,0.669,
0.797,0.779,1,0.728,
0.607,0.571,1,0.507,
0.837,0.822,1,0.781,
0.587,0.54,1,0.502,
0.646,0.62,1,0.557,
0.733,0.713,1,0.667,
0.806,0.798,0.989,0.744,
0.592,0.55,1,0.511,
0.624,0.581,1,0.522,
0.575,0.54,0.858,0.496,
0.788,0.769,1,0.727,
0.669,0.626,1,0.592,
0.598,0.564,0.874,0.53,
0.65,0.626,0.985,0.565,
0.753,0.724,1,0.697,
