

Data analysis for each instance 
AVG,MED,MAX,MIN
0.634,0.6,1,0.54,
0.655,0.63,1,0.546,
0.634,0.601,0.939,0.555,
0.676,0.648,1,0.591,
0.646,0.613,1,0.532,
0.623,0.594,0.945,0.534,
0.595,0.567,0.912,0.5,
0.649,0.623,1,0.547,
0.707,0.685,0.99,0.617,
0.649,0.612,1,0.555,
0.588,0.552,0.946,0.505,
0.602,0.557,0.949,0.539,
0.692,0.661,1,0.625,
0.657,0.605,1,0.576,
0.646,0.618,1,0.494,
0.7,0.667,1,0.628,
0.693,0.671,1,0.593,
0.642,0.605,1,0.549,
0.633,0.619,0.93,0.535,
0.617,0.593,0.919,0.528,
0.687,0.663,1,0.575,
0.611,0.56,1,0.542,
0.599,0.567,0.912,0.535,
0.69,0.659,1,0.6,
0.646,0.617,1,0.566,
0.673,0.651,1,0.563,
0.672,0.653,1,0.589,
0.62,0.586,1,0.516,
0.571,0.529,0.915,0.485,
0.673,0.649,0.982,0.597,
0.62,0.566,1,0.512,
0.631,0.599,1,0.555,
0.61,0.581,0.952,0.52,
0.652,0.621,1,0.561,
0.71,0.675,1,0.62,
0.622,0.576,0.931,0.564,
0.642,0.611,0.939,0.564,
0.674,0.64,1,0.607,
0.68,0.666,1,0.565,
0.6,0.565,1,0.525,
0.619,0.598,0.933,0.541,
0.654,0.631,0.91,0.568,
0.597,0.558,0.94,0.498,
0.669,0.639,0.972,0.602,
0.628,0.589,1,0.56,
0.616,0.589,0.912,0.535,
0.666,0.628,1,0.59,
0.673,0.635,1,0.6,
0.664,0.633,0.962,0.598,
0.605,0.564,0.953,0.529,
0.692,0.653,1,0.601,
0.63,0.601,1,0.529,
0.601,0.575,0.923,0.526,
0.667,0.627,1,0.545,
0.7,0.675,1,0.602,
0.626,0.583,1,0.52,
0.73,0.699,1,0.667,
0.633,0.593,1,0.533,
0.633,0.595,1,0.568,
0.652,0.615,1,0.578,
0.709,0.683,0.995,0.61,
0.601,0.575,1,0.493,
0.626,0.588,1,0.482,
0.621,0.587,0.939,0.542,
0.704,0.671,1,0.621,
0.619,0.575,1,0.502,
0.611,0.575,0.943,0.537,
0.642,0.611,0.972,0.576,
0.66,0.627,1,0.581,
0.631,0.595,1,0.536,
0.656,0.629,1,0.562,
0.687,0.653,1,0.608,
0.618,0.59,0.913,0.517,
0.654,0.615,1,0.586,
0.678,0.65,1,0.62,
0.631,0.611,0.953,0.544,
0.675,0.64,1,0.603,
0.676,0.663,0.967,0.592,
0.586,0.538,1,0.476,
0.6,0.576,0.917,0.509,
0.608,0.583,0.92,0.523,
0.657,0.627,1,0.542,
0.612,0.561,1,0.531,
0.591,0.566,0.903,0.472,
0.663,0.629,0.983,0.562,
0.673,0.636,1,0.598,
0.615,0.564,1,0.529,
0.621,0.589,0.943,0.552,
0.629,0.584,1,0.525,
0.647,0.625,1,0.543,
0.696,0.67,1,0.57,
0.672,0.645,1,0.585,
0.648,0.615,1,0.56,
0.623,0.597,0.948,0.538,
0.666,0.633,1,0.558,
0.632,0.591,1,0.515,
0.632,0.623,0.914,0.526,
0.615,0.596,0.899,0.5,
0.68,0.651,1,0.6,
0.677,0.658,1,0.595,
0.657,0.636,1,0.576,
0.598,0.57,0.965,0.504,
0.682,0.675,1,0.579,
0.646,0.605,1,0.548,
0.669,0.657,1,0.553,
0.589,0.559,0.94,0.498,
0.639,0.627,0.935,0.487,
0.652,0.628,0.939,0.56,
0.687,0.657,1,0.608,
0.629,0.593,1,0.517,
0.658,0.619,0.958,0.577,
0.683,0.649,1,0.581,
0.594,0.556,1,0.485,
0.62,0.593,0.922,0.531,
0.698,0.67,1,0.627,
