

Data analysis for each instance 
AVG,MED,MAX,MIN
0.69,0.653,1,0.612,
0.684,0.655,1,0.608,
0.687,0.647,1,0.595,
0.693,0.655,1,0.618,
0.693,0.665,1,0.607,
0.677,0.635,1,0.609,
0.695,0.669,1,0.597,
0.672,0.631,1,0.574,
0.664,0.62,1,0.575,
0.685,0.651,1,0.615,
0.684,0.663,1,0.596,
0.675,0.641,1,0.608,
0.682,0.666,1,0.569,
0.694,0.661,1,0.604,
0.693,0.667,1,0.606,
0.684,0.646,1,0.623,
0.692,0.655,1,0.612,
0.694,0.663,1,0.628,
0.696,0.655,1,0.631,
0.669,0.633,1,0.6,
0.689,0.645,1,0.619,
0.679,0.652,1,0.584,
0.688,0.647,1,0.629,
0.683,0.649,1,0.6,
0.692,0.665,1,0.605,
0.688,0.655,1,0.571,
0.693,0.663,1,0.592,
0.685,0.653,1,0.592,
0.684,0.643,1,0.605,
0.678,0.649,1,0.588,
0.688,0.659,1,0.612,
0.676,0.643,1,0.586,
0.682,0.649,1,0.616,
0.669,0.63,1,0.6,
0.684,0.647,1,0.587,
0.681,0.638,1,0.617,
0.693,0.645,1,0.584,
0.673,0.633,1,0.608,
0.695,0.663,1,0.616,
0.692,0.661,1,0.611,
0.692,0.648,1,0.625,
0.686,0.656,1,0.601,
0.68,0.643,1,0.588,
0.686,0.657,1,0.597,
0.686,0.662,1,0.591,
0.676,0.639,1,0.595,
0.699,0.673,1,0.615,
0.685,0.651,1,0.609,
0.698,0.658,1,0.632,
0.677,0.642,1,0.611,
0.684,0.654,1,0.614,
0.685,0.648,1,0.61,
0.676,0.639,1,0.604,
0.681,0.649,1,0.612,
0.669,0.638,1,0.566,
0.688,0.667,1,0.594,
0.692,0.659,1,0.597,
0.683,0.643,1,0.612,
0.679,0.647,1,0.614,
0.7,0.663,1,0.624,
0.684,0.649,1,0.623,
0.688,0.653,1,0.61,
0.672,0.638,1,0.589,
0.694,0.67,1,0.6,
0.678,0.645,1,0.597,
0.691,0.661,1,0.636,
0.689,0.651,1,0.632,
0.685,0.657,1,0.602,
0.681,0.643,1,0.599,
0.691,0.664,1,0.572,
0.671,0.641,1,0.578,
0.678,0.64,1,0.601,
0.695,0.658,1,0.608,
0.686,0.653,1,0.615,
0.682,0.643,1,0.623,
0.691,0.661,1,0.612,
0.676,0.645,1,0.588,
0.674,0.641,1,0.612,
0.701,0.664,1,0.634,
0.671,0.645,1,0.569,
0.684,0.641,1,0.608,
0.68,0.647,1,0.595,
0.693,0.655,1,0.619,
0.693,0.67,1,0.605,
0.683,0.649,1,0.605,
0.688,0.659,1,0.604,
0.692,0.676,1,0.602,
0.673,0.629,1,0.611,
0.68,0.635,1,0.615,
0.685,0.661,1,0.572,
0.681,0.655,1,0.592,
0.69,0.655,1,0.622,
0.687,0.643,1,0.627,
0.688,0.654,1,0.606,
0.682,0.646,1,0.61,
0.675,0.639,1,0.597,
0.677,0.641,1,0.602,
0.683,0.644,1,0.596,
0.7,0.657,1,0.638,
0.684,0.643,1,0.621,
0.696,0.669,1,0.624,
0.684,0.646,1,0.61,
0.697,0.661,1,0.638,
0.687,0.655,1,0.607,
0.677,0.639,1,0.598,
0.681,0.645,1,0.586,
0.699,0.662,1,0.635,
0.695,0.659,1,0.623,
0.676,0.637,1,0.595,
0.677,0.633,1,0.61,
0.689,0.657,1,0.596,
0.686,0.649,1,0.605,
0.682,0.649,1,0.595,
0.685,0.657,1,0.585,
0.683,0.651,1,0.604,
0.684,0.657,1,0.607,
0.694,0.663,1,0.575,
0.676,0.645,1,0.595,
0.674,0.645,1,0.583,
0.661,0.633,1,0.586,
0.677,0.639,1,0.613,
0.688,0.651,1,0.621,
0.685,0.656,1,0.585,
0.688,0.653,1,0.635,
0.686,0.653,1,0.611,
0.697,0.655,1,0.631,
0.687,0.655,1,0.618,
0.69,0.658,1,0.609,
0.669,0.641,1,0.564,
0.674,0.633,1,0.609,
0.687,0.662,1,0.602,
0.688,0.661,1,0.588,
0.688,0.651,1,0.614,
0.682,0.648,1,0.601,
0.687,0.663,1,0.592,
0.681,0.648,1,0.59,
0.696,0.658,1,0.619,
0.67,0.633,1,0.579,
0.685,0.667,1,0.579,
0.688,0.652,1,0.617,
0.679,0.637,1,0.605,
0.693,0.661,1,0.61,
0.686,0.671,1,0.563,
0.687,0.653,1,0.597,
0.686,0.647,1,0.593,
0.685,0.651,1,0.568,
0.671,0.637,1,0.602,
0.679,0.643,1,0.602,
0.676,0.645,1,0.573,
0.682,0.637,1,0.606,
0.685,0.659,1,0.592,
0.678,0.643,1,0.57,
0.688,0.647,1,0.624,
0.669,0.642,1,0.598,
0.679,0.647,1,0.575,
0.689,0.649,1,0.609,
0.692,0.651,1,0.606,
0.676,0.633,1,0.591,
0.683,0.657,1,0.599,
0.682,0.651,1,0.599,
0.687,0.657,1,0.625,
0.679,0.645,1,0.628,
0.683,0.639,1,0.609,
