

Data analysis for each instance 
AVG,MED,MAX,MIN
0.366,0.358,1,0.358,
0.37,0.361,1,0.361,
0.36,0.353,1,0.353,
0.367,0.36,1,0.36,
0.364,0.354,1,0.354,
0.442,0.435,1,0.389,
0.37,0.36,1,0.36,
0.384,0.371,1,0.361,
0.367,0.359,1,0.359,
0.357,0.35,1,0.35,
0.363,0.355,1,0.355,
0.363,0.355,1,0.355,
0.37,0.36,1,0.36,
0.354,0.346,1,0.346,
0.371,0.364,1,0.363,
0.376,0.362,1,0.362,
0.356,0.349,1,0.349,
0.359,0.351,1,0.351,
0.356,0.348,1,0.348,
0.362,0.355,1,0.354,
0.384,0.371,1,0.369,
0.36,0.352,1,0.352,
0.356,0.348,1,0.348,
0.372,0.364,1,0.363,
0.379,0.37,1,0.37,
0.368,0.36,1,0.36,
0.386,0.377,1,0.372,
0.37,0.362,1,0.362,
0.373,0.356,1,0.356,
0.36,0.355,1,0.35,
0.35,0.343,1,0.343,
0.364,0.356,1,0.356,
0.366,0.356,1,0.356,
0.405,0.401,1,0.364,
0.368,0.359,1,0.359,
0.371,0.362,1,0.362,
0.394,0.368,1,0.367,
0.375,0.362,1,0.362,
0.37,0.363,1,0.359,
0.372,0.361,1,0.361,
0.37,0.362,1,0.362,
0.357,0.35,1,0.35,
0.378,0.363,1,0.363,
0.394,0.395,1,0.353,
0.356,0.349,1,0.349,
0.416,0.409,1,0.365,
0.364,0.356,1,0.356,
0.359,0.351,1,0.351,
0.397,0.392,1,0.363,
0.372,0.368,1,0.359,
0.37,0.363,1,0.36,
0.431,0.426,1,0.383,
0.394,0.369,1,0.359,
0.364,0.356,1,0.356,
0.369,0.358,1,0.358,
0.361,0.353,1,0.353,
0.349,0.342,1,0.342,
0.377,0.369,1,0.367,
0.364,0.356,1,0.356,
0.421,0.411,1,0.366,
0.371,0.362,1,0.362,
0.37,0.361,1,0.361,
0.369,0.359,1,0.359,
0.37,0.36,1,0.36,
0.372,0.364,1,0.364,
0.374,0.362,1,0.362,
0.347,0.34,1,0.34,
0.365,0.356,1,0.356,
0.348,0.341,1,0.341,
0.358,0.35,1,0.35,
0.359,0.352,1,0.352,
0.368,0.358,1,0.358,
0.367,0.359,1,0.359,
0.369,0.361,1,0.361,
0.363,0.355,1,0.355,
0.362,0.351,1,0.351,
0.365,0.357,1,0.357,
0.37,0.359,1,0.359,
0.409,0.399,1,0.369,
0.362,0.353,1,0.353,
0.378,0.363,1,0.363,
0.36,0.352,1,0.352,
0.363,0.358,1,0.354,
0.365,0.357,1,0.357,
0.376,0.362,1,0.362,
0.364,0.354,1,0.354,
0.357,0.349,1,0.349,
0.362,0.355,1,0.355,
0.351,0.344,1,0.344,
0.369,0.358,1,0.358,
0.354,0.346,1,0.346,
0.417,0.413,1,0.366,
0.371,0.363,1,0.363,
0.395,0.395,1,0.359,
0.338,0.331,1,0.331,
0.35,0.342,1,0.342,
0.415,0.41,1,0.379,
0.37,0.36,1,0.36,
0.365,0.357,1,0.357,
0.367,0.359,1,0.359,
0.411,0.404,1,0.366,
0.368,0.36,1,0.36,
0.364,0.355,1,0.355,
0.373,0.364,1,0.364,
0.358,0.351,1,0.351,
0.36,0.353,1,0.353,
0.365,0.357,1,0.356,
0.361,0.353,1,0.353,
0.361,0.354,1,0.352,
0.38,0.367,1,0.367,
0.344,0.337,1,0.337,
0.382,0.373,1,0.361,
0.403,0.398,1,0.363,
0.361,0.353,1,0.353,
0.375,0.363,1,0.363,
0.373,0.362,1,0.362,
0.368,0.359,1,0.359,
0.366,0.357,1,0.357,
0.366,0.356,1,0.356,
0.37,0.362,1,0.362,
0.369,0.36,1,0.36,
0.358,0.351,1,0.351,
0.366,0.358,1,0.358,
0.355,0.348,1,0.348,
0.363,0.355,1,0.355,
0.354,0.346,1,0.346,
0.366,0.358,1,0.358,
0.386,0.379,1,0.366,
0.369,0.36,1,0.36,
0.368,0.357,1,0.357,
0.372,0.365,1,0.362,
0.366,0.359,1,0.356,
0.366,0.358,1,0.358,
0.365,0.357,1,0.357,
0.404,0.398,1,0.373,
0.435,0.429,1,0.393,
0.368,0.358,1,0.358,
0.366,0.356,1,0.356,
0.356,0.348,1,0.348,
0.368,0.358,1,0.358,
0.359,0.348,1,0.348,
0.426,0.42,1,0.375,
0.368,0.36,1,0.36,
0.369,0.36,1,0.36,
0.361,0.353,1,0.353,
0.377,0.367,1,0.36,
0.368,0.357,1,0.357,
0.377,0.375,1,0.36,
0.367,0.359,1,0.359,
0.359,0.351,1,0.351,
0.366,0.357,1,0.357,
0.363,0.355,1,0.355,
0.351,0.344,1,0.344,
0.362,0.354,1,0.354,
0.429,0.419,1,0.377,
0.364,0.356,1,0.356,
0.37,0.361,1,0.361,
0.371,0.361,1,0.361,
0.4,0.396,1,0.36,
0.348,0.341,1,0.341,
0.422,0.417,1,0.369,
0.368,0.363,1,0.359,
0.369,0.361,1,0.361,
0.367,0.356,1,0.356,
0.36,0.353,1,0.353,
0.357,0.35,1,0.35,
0.371,0.361,1,0.361,
0.37,0.362,1,0.362,
0.361,0.351,1,0.351,
0.373,0.36,1,0.359,
0.372,0.363,1,0.362,
0.391,0.374,1,0.374,
0.362,0.354,1,0.354,
0.353,0.345,1,0.345,
0.382,0.362,1,0.362,
0.374,0.366,1,0.366,
0.363,0.355,1,0.355,
0.371,0.361,1,0.361,
0.393,0.385,1,0.362,
0.364,0.357,1,0.357,
0.36,0.351,1,0.351,
0.371,0.362,1,0.362,
0.364,0.356,1,0.356,
0.365,0.355,1,0.355,
0.365,0.357,1,0.357,
0.382,0.364,1,0.364,
0.37,0.361,1,0.361,
0.361,0.353,1,0.353,
0.351,0.344,1,0.344,
0.371,0.363,1,0.363,
0.354,0.347,1,0.347,
0.377,0.361,1,0.361,
0.369,0.36,1,0.36,
0.369,0.361,1,0.361,
0.368,0.359,1,0.358,
0.355,0.348,1,0.348,
0.376,0.362,1,0.362,
0.374,0.364,1,0.364,
0.382,0.361,1,0.361,
0.348,0.341,1,0.341,
0.372,0.361,1,0.361,
0.362,0.355,1,0.355,
0.326,0.319,1,0.319,
0.369,0.361,1,0.361,
0.379,0.364,1,0.364,
0.375,0.353,1,0.353,
0.367,0.358,1,0.358,
0.365,0.357,1,0.357,
0.367,0.358,1,0.358,
0.372,0.365,1,0.363,
0.367,0.359,1,0.359,
0.368,0.359,1,0.357,
0.385,0.375,1,0.371,
0.367,0.359,1,0.359,
0.369,0.359,1,0.359,
0.418,0.412,1,0.366,
0.365,0.356,1,0.356,
0.357,0.348,1,0.348,
0.359,0.351,1,0.351,
0.344,0.337,1,0.337,
0.367,0.358,1,0.358,
0.363,0.356,1,0.356,
0.365,0.357,1,0.357,
0.368,0.36,1,0.36,
0.383,0.358,1,0.358,
0.377,0.365,1,0.358,
0.401,0.39,1,0.362,
0.353,0.345,1,0.345,
0.369,0.361,1,0.361,
0.396,0.389,1,0.357,
0.381,0.374,1,0.361,
0.363,0.354,1,0.354,
0.422,0.419,1,0.366,
0.363,0.355,1,0.355,
0.356,0.349,1,0.349,
0.367,0.358,1,0.358,
0.362,0.355,1,0.355,
0.365,0.356,1,0.356,
0.377,0.368,1,0.368,
0.357,0.349,1,0.349,
0.372,0.36,1,0.36,
0.359,0.352,1,0.35,
0.359,0.351,1,0.351,
0.373,0.36,1,0.36,
0.367,0.359,1,0.359,
0.365,0.356,1,0.356,
0.345,0.338,1,0.338,
0.364,0.356,1,0.356,
0.368,0.361,1,0.36,
0.372,0.362,1,0.36,
0.364,0.355,1,0.355,
0.376,0.359,1,0.359,
0.359,0.351,1,0.351,
0.369,0.36,1,0.36,
0.364,0.355,1,0.355,
0.362,0.355,1,0.355,
0.363,0.354,1,0.354,
