

Data analysis for each instance 
AVG,MED,MAX,MIN
-0.113,-0.111,0,-0.247,
-0.06,-0.055,0,-0.117,
-0.046,-0.042,0,-0.128,
-0.094,-0.091,0,-0.194,
-0.077,-0.073,0,-0.17,
-0.063,-0.063,0,-0.154,
-0.075,-0.073,0,-0.154,
-0.085,-0.086,0,-0.2,
-0.052,-0.05,0,-0.137,
-0.067,-0.061,0,-0.178,
-0.056,-0.052,0,-0.151,
-0.051,-0.048,0,-0.168,
-0.064,-0.063,0,-0.157,
-0.048,-0.044,0,-0.15,
-0.08,-0.079,0,-0.158,
-0.051,-0.046,0,-0.129,
-0.06,-0.058,0,-0.193,
-0.067,-0.069,0,-0.144,
-0.057,-0.053,0,-0.185,
-0.051,-0.049,0,-0.123,
-0.071,-0.066,0,-0.145,
-0.078,-0.072,0,-0.159,
-0.072,-0.072,0,-0.146,
-0.069,-0.065,0,-0.142,
-0.125,-0.115,0,-0.229,
-0.078,-0.076,0,-0.142,
-0.073,-0.071,0,-0.181,
-0.102,-0.1,0,-0.218,
-0.054,-0.052,0.002,-0.143,
-0.065,-0.06,0,-0.166,
-0.067,-0.067,0,-0.163,
-0.064,-0.058,0,-0.167,
-0.091,-0.09,0,-0.166,
-0.07,-0.066,0,-0.162,
-0.078,-0.077,0,-0.233,
-0.103,-0.102,0,-0.184,
-0.08,-0.078,0,-0.164,
-0.062,-0.058,0,-0.173,
-0.074,-0.072,0,-0.151,
-0.063,-0.056,0,-0.224,
-0.065,-0.063,0,-0.145,
-0.045,-0.044,0,-0.112,
-0.08,-0.079,0,-0.152,
-0.079,-0.074,0,-0.208,
-0.064,-0.059,0,-0.134,
-0.069,-0.066,0,-0.139,
-0.059,-0.053,0,-0.157,
-0.049,-0.046,0,-0.118,
-0.069,-0.065,0,-0.143,
-0.06,-0.051,0,-0.187,
-0.063,-0.06,0,-0.123,
-0.093,-0.093,0,-0.205,
-0.08,-0.077,0,-0.165,
-0.075,-0.076,0,-0.217,
-0.089,-0.089,0,-0.147,
-0.056,-0.056,0,-0.149,
-0.049,-0.044,0,-0.146,
-0.077,-0.079,0,-0.192,
-0.067,-0.066,0,-0.164,
-0.077,-0.075,0,-0.146,
-0.065,-0.061,0,-0.134,
-0.065,-0.06,0,-0.213,
-0.063,-0.058,0,-0.147,
-0.081,-0.084,0,-0.152,
-0.075,-0.074,0,-0.139,
-0.091,-0.086,0,-0.201,
-0.07,-0.065,0.002,-0.224,
-0.105,-0.107,0,-0.174,
-0.067,-0.062,0,-0.197,
-0.061,-0.057,0,-0.196,
-0.05,-0.043,0,-0.148,
-0.078,-0.079,0,-0.182,
-0.068,-0.065,0,-0.17,
-0.104,-0.102,0,-0.181,
-0.06,-0.059,0,-0.155,
-0.055,-0.04,0,-0.163,
-0.081,-0.08,0,-0.15,
-0.091,-0.089,0,-0.168,
-0.067,-0.064,0,-0.151,
-0.041,-0.038,0,-0.106,
-0.066,-0.064,0,-0.127,
-0.095,-0.094,0,-0.223,
-0.077,-0.073,0,-0.177,
-0.058,-0.055,0,-0.155,
-0.105,-0.101,0,-0.182,
-0.066,-0.059,0,-0.174,
-0.057,-0.056,0,-0.176,
-0.062,-0.062,0,-0.189,
-0.078,-0.075,0,-0.189,
-0.065,-0.063,0,-0.162,
-0.06,-0.059,0,-0.171,
-0.106,-0.104,0,-0.192,
-0.065,-0.06,0,-0.148,
-0.078,-0.078,0,-0.201,
-0.085,-0.078,0,-0.218,
-0.077,-0.083,0,-0.156,
-0.04,-0.037,0,-0.111,
-0.06,-0.053,0,-0.165,
-0.068,-0.065,0,-0.195,
-0.061,-0.06,0,-0.138,
-0.06,-0.056,0,-0.129,
-0.071,-0.065,0,-0.172,
-0.043,-0.04,0,-0.144,
-0.093,-0.094,0,-0.165,
-0.061,-0.06,0,-0.153,
-0.088,-0.087,0,-0.213,
-0.08,-0.079,0,-0.182,
-0.077,-0.073,0,-0.182,
-0.068,-0.064,0,-0.149,
-0.083,-0.083,0,-0.174,
-0.057,-0.056,0,-0.131,
-0.07,-0.069,0,-0.145,
-0.084,-0.084,0,-0.176,
-0.084,-0.079,0,-0.18,
-0.082,-0.085,0,-0.161,
-0.064,-0.06,0,-0.131,
-0.072,-0.07,0,-0.211,
-0.071,-0.066,0,-0.21,
-0.061,-0.061,0,-0.149,
-0.066,-0.062,0,-0.196,
-0.058,-0.057,0,-0.139,
-0.051,-0.049,0,-0.123,
-0.054,-0.049,0,-0.16,
-0.069,-0.066,0,-0.167,
-0.076,-0.07,0,-0.182,
-0.075,-0.071,0.004,-0.206,
-0.089,-0.09,0,-0.215,
-0.081,-0.069,0,-0.199,
-0.067,-0.067,0,-0.125,
-0.062,-0.058,0,-0.186,
-0.06,-0.057,0,-0.157,
-0.075,-0.068,0,-0.201,
-0.101,-0.102,0,-0.226,
-0.078,-0.078,0,-0.147,
