

Data analysis for each instance 
AVG,MED,MAX,MIN
-0.55,-0.572,0,-0.578,
-0.513,-0.575,0,-0.575,
-0.384,-0.4,0,-0.454,
-0.527,-0.538,0,-0.563,
-0.417,-0.445,0,-0.449,
-0.182,-0.173,0,-0.337,
-0.477,-0.499,0,-0.579,
-0.405,-0.48,0,-0.546,
-0.51,-0.573,0,-0.573,
-0.399,-0.419,0,-0.459,
-0.357,-0.371,0,-0.424,
-0.386,-0.402,0,-0.447,
-0.543,-0.575,0,-0.575,
-0.376,-0.382,0,-0.46,
-0.521,-0.551,0,-0.568,
-0.394,-0.484,0,-0.553,
-0.402,-0.409,0,-0.462,
-0.439,-0.463,0,-0.463,
-0.393,-0.405,0,-0.451,
-0.387,-0.413,0,-0.457,
-0.491,-0.514,0,-0.551,
-0.375,-0.385,0,-0.451,
-0.312,-0.32,0,-0.406,
-0.494,-0.524,0,-0.561,
-0.498,-0.58,0,-0.58,
-0.52,-0.545,0,-0.57,
-0.502,-0.514,0,-0.567,
-0.522,-0.544,0,-0.573,
-0.353,-0.387,0,-0.449,
-0.45,-0.461,0,-0.461,
-0.403,-0.419,0,-0.462,
-0.342,-0.508,0,-0.551,
-0.456,-0.475,0,-0.489,
-0.408,-0.482,0,-0.542,
-0.555,-0.569,0,-0.581,
-0.531,-0.567,0,-0.574,
-0.118,-0.113,0,-0.261,
-0.406,-0.51,0,-0.571,
-0.466,-0.488,0,-0.543,
-0.444,-0.478,0,-0.52,
-0.006,-0.005,0.006,-0.027,
-0.41,-0.421,0,-0.523,
-0.074,-0.07,0,-0.162,
-0.328,-0.344,0,-0.43,
-0.388,-0.404,0,-0.457,
-0.095,-0.094,0,-0.189,
-0.41,-0.416,0,-0.522,
-0.397,-0.417,0,-0.425,
-0.04,-0.034,0,-0.101,
-0.287,-0.292,0,-0.39,
-0.387,-0.408,0,-0.544,
-0.403,-0.415,0,-0.506,
-0.414,-0.427,0,-0.55,
-0.342,-0.347,0,-0.427,
-0.495,-0.516,0,-0.569,
-0.366,-0.379,0,-0.434,
-0.386,-0.405,0,-0.448,
-0.444,-0.464,0,-0.525,
-0.561,-0.579,0,-0.58,
-0.415,-0.454,0,-0.537,
-0.54,-0.565,0,-0.572,
-0.501,-0.509,0,-0.558,
-0.456,-0.476,0,-0.564,
-0.469,-0.471,0,-0.579,
-0.018,-0.009,0,-0.076,
-0.104,-0.101,0,-0.223,
-0.381,-0.387,0,-0.453,
-0.492,-0.509,0,-0.511,
-0.302,-0.326,0,-0.399,
-0.38,-0.39,0,-0.45,
-0.394,-0.407,0,-0.467,
-0.531,-0.556,0,-0.556,
-0.512,-0.545,0,-0.547,
-0.45,-0.524,0,-0.572,
-0.369,-0.379,0.032,-0.435,
-0.377,-0.392,0,-0.45,
-0.554,-0.57,0,-0.573,
-0.467,-0.487,0,-0.552,
-0.352,-0.44,0,-0.516,
-0.371,-0.389,0,-0.447,
-0.017,-0.004,0,-0.097,
-0.43,-0.458,0,-0.458,
-0.344,-0.358,0,-0.43,
-0.521,-0.555,0,-0.563,
-0.491,-0.516,0,-0.571,
-0.387,-0.402,0,-0.456,
-0.385,-0.406,0.005,-0.457,
-0.416,-0.422,0,-0.576,
-0.391,-0.4,0,-0.459,
-0.361,-0.376,0,-0.45,
-0.33,-0.337,0,-0.426,
-0.431,-0.477,0,-0.521,
-0.006,-0.004,0,-0.009,
-0.523,-0.538,0,-0.539,
-0.382,-0.399,0.168,-0.477,
-0.36,-0.378,0,-0.446,
-0.389,-0.475,0,-0.55,
-0.543,-0.577,0,-0.58,
-0.509,-0.534,0,-0.534,
-0.538,-0.571,0,-0.58,
-0.053,-0.054,0,-0.122,
-0.356,-0.398,0,-0.523,
-0.395,-0.41,0,-0.499,
-0.535,-0.573,0,-0.577,
-0.397,-0.417,0,-0.461,
-0.379,-0.394,0,-0.437,
-0.399,-0.417,0,-0.498,
-0.407,-0.425,0,-0.456,
-0.375,-0.385,0,-0.461,
-0.483,-0.506,0,-0.569,
-0.382,-0.407,0.025,-0.51,
-0.518,-0.549,0,-0.551,
-0.502,-0.552,0,-0.568,
-0.398,-0.417,0,-0.459,
-0.035,-0.028,0,-0.099,
-0.118,-0.111,0,-0.301,
-0.454,-0.474,0,-0.556,
-0.483,-0.51,0,-0.511,
-0.384,-0.411,0,-0.464,
-0.071,-0.061,0,-0.185,
-0.478,-0.522,0,-0.566,
-0.384,-0.393,0,-0.453,
-0.362,-0.379,0.006,-0.42,
-0.388,-0.406,0,-0.444,
-0.492,-0.506,0,-0.557,
-0.386,-0.395,0,-0.438,
-0.538,-0.577,0,-0.582,
-0.24,-0.177,0,-0.517,
-0.503,-0.536,0,-0.579,
-0.379,-0.418,0,-0.501,
-0.512,-0.56,0,-0.561,
-0.347,-0.353,0,-0.449,
-0.543,-0.56,0,-0.569,
-0.527,-0.58,0,-0.584,
-0.219,-0.209,0,-0.32,
-0.116,-0.118,0,-0.192,
-0.519,-0.543,0,-0.574,
-0.488,-0.514,0,-0.543,
-0.429,-0.449,0.018,-0.449,
-0.52,-0.548,0,-0.579,
-0.299,-0.301,0,-0.413,
-0.394,-0.486,0,-0.562,
