

Data analysis for each instance 
AVG,MED,MAX,MIN
0.645,0.643,1,0.609,
0.596,0.589,1,0.584,
0.744,0.745,1,0.713,
0.587,0.581,1,0.581,
0.64,0.641,1,0.598,
0.651,0.647,1,0.647,
0.717,0.716,1,0.678,
0.654,0.651,1,0.637,
0.666,0.664,1,0.642,
0.665,0.659,1,0.651,
0.62,0.619,1,0.594,
0.685,0.683,1,0.66,
0.711,0.709,1,0.68,
0.594,0.589,0.97,0.577,
0.647,0.649,1,0.571,
0.687,0.693,1,0.672,
0.617,0.609,1,0.609,
0.651,0.642,1,0.642,
0.603,0.599,1,0.575,
0.636,0.633,1,0.631,
0.656,0.656,1,0.626,
0.66,0.655,1,0.632,
0.609,0.598,1,0.598,
0.694,0.69,1,0.683,
0.693,0.688,1,0.67,
0.672,0.67,1,0.648,
0.633,0.606,1,0.605,
0.651,0.649,1,0.637,
0.71,0.717,1,0.665,
0.627,0.628,0.991,0.605,
0.633,0.628,1,0.628,
0.691,0.688,1,0.688,
0.66,0.651,1,0.635,
0.691,0.686,1,0.673,
0.632,0.626,1,0.617,
0.679,0.674,1,0.619,
0.647,0.65,1,0.598,
0.68,0.675,1,0.658,
0.603,0.597,1,0.59,
0.644,0.636,1,0.604,
0.71,0.708,1,0.676,
0.727,0.724,1,0.722,
0.655,0.653,1,0.636,
0.641,0.635,1,0.603,
0.665,0.661,1,0.642,
0.687,0.686,1,0.668,
0.688,0.681,1,0.68,
0.712,0.708,1,0.698,
0.684,0.681,1,0.677,
0.531,0.521,1,0.521,
0.63,0.632,1,0.564,
0.657,0.655,1,0.635,
0.636,0.633,1,0.604,
0.622,0.622,1,0.592,
0.669,0.669,1,0.637,
0.659,0.656,1,0.642,
0.618,0.605,1,0.605,
0.676,0.672,1,0.658,
0.669,0.662,1,0.658,
0.665,0.675,1,0.627,
0.705,0.704,1,0.688,
0.611,0.594,1,0.583,
0.699,0.685,1,0.634,
0.611,0.608,1,0.585,
0.711,0.709,1,0.676,
0.674,0.667,1,0.654,
0.595,0.589,1,0.589,
0.701,0.699,1,0.69,
0.584,0.576,1,0.574,
0.691,0.687,1,0.66,
0.657,0.655,1,0.627,
0.681,0.679,1,0.66,
0.715,0.708,1,0.687,
0.669,0.667,1,0.636,
0.574,0.567,1,0.561,
0.713,0.712,1,0.69,
0.645,0.639,1,0.615,
0.646,0.645,1,0.627,
0.674,0.685,1,0.601,
0.69,0.68,1,0.658,
0.665,0.661,1,0.661,
0.622,0.616,1,0.602,
0.646,0.641,1,0.613,
0.646,0.635,1,0.635,
0.605,0.602,1,0.585,
0.669,0.666,1,0.652,
0.654,0.65,1,0.641,
0.653,0.649,1,0.647,
0.578,0.572,1,0.572,
0.679,0.679,1,0.645,
0.642,0.637,1,0.624,
0.598,0.594,1,0.591,
0.716,0.713,1,0.713,
0.657,0.652,1,0.64,
0.534,0.528,1,0.527,
0.62,0.612,1,0.612,
0.688,0.685,1,0.679,
0.658,0.657,1,0.639,
0.678,0.676,1,0.629,
0.667,0.663,1,0.637,
0.684,0.682,1,0.679,
0.68,0.676,1,0.662,
0.69,0.687,1,0.659,
0.659,0.66,1,0.637,
0.653,0.65,1,0.629,
0.635,0.633,1,0.581,
0.625,0.619,1,0.616,
0.726,0.731,1,0.655,
0.612,0.605,1,0.598,
0.659,0.644,1,0.599,
0.623,0.618,1,0.607,
0.684,0.682,1,0.66,
0.655,0.651,1,0.646,
0.586,0.58,1,0.569,
0.657,0.653,1,0.653,
0.677,0.67,1,0.651,
0.699,0.696,1,0.67,
0.669,0.668,1,0.641,
0.643,0.646,1,0.615,
0.672,0.667,1,0.667,
0.605,0.595,1,0.57,
0.696,0.692,1,0.692,
0.719,0.717,1,0.697,
0.635,0.629,1,0.614,
0.679,0.673,1,0.672,
0.639,0.632,1,0.614,
0.676,0.677,1,0.657,
0.681,0.679,1,0.664,
0.664,0.66,1,0.653,
0.651,0.648,1,0.642,
0.7,0.696,1,0.68,
0.601,0.595,1,0.558,
0.681,0.681,1,0.656,
0.682,0.685,1,0.643,
0.661,0.656,1,0.625,
0.645,0.638,1,0.623,
0.634,0.629,1,0.622,
0.664,0.662,1,0.621,
0.654,0.65,1,0.611,
0.705,0.696,1,0.673,
0.667,0.667,1,0.629,
0.692,0.683,1,0.676,
0.71,0.71,1,0.669,
0.588,0.585,1,0.555,
0.592,0.585,1,0.554,
0.711,0.709,1,0.706,
0.659,0.66,1,0.596,
0.684,0.689,1,0.648,
0.701,0.696,1,0.674,
0.598,0.59,1,0.583,
0.639,0.631,1,0.623,
0.616,0.615,1,0.578,
0.584,0.579,1,0.568,
0.669,0.663,1,0.644,
0.667,0.663,1,0.659,
0.622,0.616,1,0.601,
0.697,0.691,1,0.678,
0.648,0.653,1,0.626,
0.667,0.661,1,0.657,
0.625,0.611,1,0.573,
0.689,0.692,1,0.648,
0.626,0.622,1,0.59,
0.673,0.672,1,0.65,
0.678,0.676,1,0.651,
0.643,0.638,1,0.625,
0.629,0.626,1,0.601,
0.658,0.653,1,0.612,
0.665,0.661,1,0.656,
0.665,0.662,1,0.636,
0.653,0.645,1,0.622,
0.651,0.648,1,0.632,
0.639,0.657,1,0.606,
0.665,0.663,1,0.649,
0.761,0.759,1,0.742,
0.682,0.681,1,0.631,
0.65,0.648,1,0.601,
0.726,0.723,1,0.708,
0.696,0.697,1,0.665,
0.662,0.661,1,0.64,
0.673,0.671,1,0.643,
