

Data analysis for each instance 
AVG,MED,MAX,MIN
0.375,0.367,1,0.367,
0.37,0.361,1,0.361,
0.36,0.353,1,0.353,
0.369,0.362,1,0.362,
0.385,0.377,1,0.377,
0.433,0.427,1,0.391,
0.371,0.36,1,0.36,
0.369,0.358,1,0.358,
0.365,0.357,1,0.357,
0.357,0.35,1,0.35,
0.363,0.355,1,0.355,
0.363,0.355,1,0.355,
0.373,0.36,1,0.36,
0.354,0.346,1,0.346,
0.374,0.366,1,0.362,
0.412,0.406,1,0.37,
0.356,0.349,1,0.349,
0.359,0.351,1,0.351,
0.356,0.348,1,0.348,
0.362,0.354,1,0.354,
0.389,0.38,1,0.373,
0.359,0.352,1,0.352,
0.356,0.348,1,0.348,
0.366,0.358,1,0.358,
0.374,0.366,1,0.366,
0.368,0.36,1,0.36,
0.373,0.36,1,0.36,
0.369,0.362,1,0.362,
0.367,0.355,1,0.355,
0.36,0.355,1,0.35,
0.35,0.343,1,0.343,
0.364,0.357,1,0.357,
0.364,0.355,1,0.355,
0.379,0.368,1,0.368,
0.367,0.358,1,0.358,
0.37,0.361,1,0.361,
0.372,0.36,1,0.36,
0.37,0.362,1,0.362,
0.367,0.358,1,0.358,
0.382,0.365,1,0.362,
0.368,0.361,1,0.361,
0.357,0.35,1,0.35,
0.393,0.387,1,0.365,
0.386,0.38,1,0.353,
0.356,0.349,1,0.349,
0.409,0.405,1,0.366,
0.364,0.356,1,0.356,
0.359,0.351,1,0.351,
0.373,0.362,1,0.362,
0.372,0.367,1,0.358,
0.365,0.356,1,0.356,
0.43,0.426,1,0.388,
0.385,0.36,1,0.36,
0.364,0.356,1,0.356,
0.367,0.358,1,0.358,
0.36,0.353,1,0.353,
0.349,0.342,1,0.342,
0.375,0.357,1,0.357,
0.364,0.357,1,0.357,
0.388,0.382,1,0.363,
0.371,0.362,1,0.362,
0.371,0.361,1,0.361,
0.368,0.359,1,0.359,
0.367,0.358,1,0.358,
0.373,0.364,1,0.364,
0.393,0.376,1,0.362,
0.347,0.34,1,0.34,
0.365,0.357,1,0.357,
0.348,0.341,1,0.341,
0.357,0.35,1,0.35,
0.359,0.352,1,0.352,
0.379,0.372,1,0.358,
0.365,0.357,1,0.357,
0.374,0.367,1,0.361,
0.363,0.355,1,0.355,
0.361,0.351,1,0.351,
0.365,0.357,1,0.357,
0.368,0.359,1,0.359,
0.374,0.36,1,0.36,
0.364,0.355,1,0.355,
0.382,0.37,1,0.363,
0.36,0.352,1,0.352,
0.363,0.358,1,0.354,
0.364,0.357,1,0.357,
0.393,0.383,1,0.364,
0.364,0.354,1,0.354,
0.357,0.349,1,0.349,
0.362,0.355,1,0.355,
0.351,0.344,1,0.344,
0.366,0.357,1,0.357,
0.354,0.346,1,0.346,
0.42,0.415,1,0.379,
0.371,0.362,1,0.362,
0.398,0.397,1,0.371,
0.338,0.331,1,0.331,
0.35,0.342,1,0.342,
0.397,0.396,1,0.361,
0.378,0.373,1,0.361,
0.365,0.357,1,0.357,
0.367,0.359,1,0.359,
0.394,0.388,1,0.362,
0.368,0.36,1,0.36,
0.363,0.355,1,0.355,
0.371,0.359,1,0.359,
0.358,0.351,1,0.351,
0.36,0.353,1,0.353,
0.365,0.357,1,0.356,
0.361,0.353,1,0.353,
0.361,0.354,1,0.352,
0.368,0.36,1,0.36,
0.344,0.337,1,0.337,
0.368,0.357,1,0.357,
0.375,0.362,1,0.362,
0.359,0.352,1,0.352,
0.371,0.363,1,0.363,
0.372,0.364,1,0.364,
0.368,0.358,1,0.358,
0.381,0.373,1,0.359,
0.366,0.357,1,0.357,
0.37,0.362,1,0.362,
0.369,0.36,1,0.36,
0.358,0.351,1,0.351,
0.363,0.355,1,0.355,
0.355,0.348,1,0.348,
0.364,0.356,1,0.356,
0.354,0.346,1,0.346,
0.366,0.358,1,0.358,
0.387,0.379,1,0.364,
0.377,0.366,1,0.36,
0.365,0.356,1,0.356,
0.366,0.358,1,0.358,
0.363,0.355,1,0.355,
0.365,0.356,1,0.356,
0.366,0.358,1,0.358,
0.404,0.399,1,0.364,
0.431,0.426,1,0.385,
0.366,0.358,1,0.358,
0.368,0.357,1,0.357,
0.356,0.348,1,0.348,
