

Data analysis for each instance 
AVG,MED,MAX,MIN
7994.33,7921,15568,6887,
8100.23,8013.5,16380,7483,
11355.87,11277.5,17574,10471,
10810.76,10705,19750,9950,
7092.83,7006,13924,6456,
6432.64,6360.5,12951,5797,
7577.5,7531,13132,6915,
7028.48,6942.5,13640,6263,
9354.1,9230,16189,8671,
9925.66,9942.5,16522,8740,
11040.97,10921.5,19197,10175,
9755.95,9695,16208,8909,
9433.18,9359,15715,8579,
11737.3,11617,21328,10669,
8592.05,8505.5,16249,7798,
7932.99,7838,13582,7389,
10712.47,10629.5,18955,9438,
9604.3,9541,16159,8606,
9494.28,9337.5,18085,8576,
14073.01,13938,23842,13158,
9698.79,9554,17434,8946,
11988.06,11919,21069,10757,
8236.05,8123,15716,7290,
10546.68,10463.5,17878,9669,
7247.48,7161.5,12360,6481,
8630.76,8541,15532,7960,
9815.13,9745,17954,8868,
8796.62,8680.5,17124,7834,
8489.5,8431.5,14239,7782,
13026.94,12949.5,22697,12062,
12929.15,12895.5,21835,11789,
8186.99,8106,14162,7431,
7990.75,7951,14571,7285,
8480.1,8402.5,14722,7979,
9727.18,9589,18364,8791,
7235.8,7164.5,12988,6721,
7475.94,7412.5,14117,6655,
9516.65,9457,16486,8935,
7695.64,7666.5,15008,6784,
6691.67,6422.5,15159,5885,
8985.41,8897.5,15070,8212,
11007.06,10929,17092,10273,
8104.69,8030,15301,7522,
8386.82,8278.5,16267,7344,
12678.75,12542.5,21632,11662,
8848.45,8771.5,15417,8376,
10157.98,10076.5,17339,9243,
10810.33,10726.5,16671,10061,
7914.74,7859.5,14347,7227,
9921.38,9779,20495,8860,
12818.48,12725,23624,12032,
7455.92,7390,14575,6646,
7292.12,7199.5,14279,6734,
10184.92,10033.5,19282,9043,
8052.86,7961.5,14603,7353,
10631.75,10599.5,18649,9749,
8523.27,8498,15366,7774,
7335.41,7276.5,13590,6530,
9983.14,9867.5,17071,9040,
8771.26,8673.5,16143,8108,
10080.89,10004,16835,9401,
8222.23,8100,16487,7393,
9684.29,9591,16687,8895,
7676.38,7592,15291,6990,
8279.87,8218.5,14541,7663,
7193.81,7105.5,13128,6333,
12768.46,12697,22648,11311,
7975.38,7920.5,13583,7305,
13528.23,13457,23992,11975,
12353.16,12229,20357,11177,
9743.98,9675,17328,8799,
8718.11,8650,15558,7842,
8861.12,8819.5,14783,7877,
7987.89,7893,14833,7264,
10704.08,10627,20029,9803,
7596.84,7631.5,12567,6722,
8237.24,8177.5,15035,7449,
8946.94,8877,17231,8254,
7021.67,6933.5,13049,6387,
8096.41,8084,13499,7557,
7694.6,7613,14196,6979,
10915.16,10787,20378,9716,
11270.01,11146,20207,10118,
8801.2,8697.5,15891,7904,
7630.98,7535.5,16249,6785,
10591.08,10473,19134,9572,
10320.65,10243,17557,9289,
9443.95,9375.5,16202,8585,
11558.47,11456.5,22089,10224,
8696.63,8664.5,15869,7787,
11150.84,11045.5,19912,10241,
6304.47,6212.5,13440,5428,
8268.08,8187.5,13781,7673,
9473.85,9398.5,16789,8697,
12809.42,12661.5,23533,10974,
12022.79,11908,21501,10445,
7942.56,7879.5,14352,7227,
9348.52,9296.5,16848,8530,
9252.81,9184,16414,8612,
8761.81,8677.5,15276,8097,
7275.97,7220.5,12995,6638,
7259.23,7211.5,13494,6556,
9204.51,9145,15287,8632,
7419.91,7342.5,13904,6749,
11002.73,10941.5,18554,10104,
9232.5,9120.5,17747,7928,
9005.55,8914.5,17439,8168,
10008.04,9936.5,16629,8698,
8764.94,8699,15183,7953,
7690.34,7591,14962,7023,
18685.07,18569,30903,16809,
9139.48,9084,16058,8131,
6590.95,6523.5,12738,6060,
9239.23,9164,18709,8107,
7232.02,7165,13255,6497,
7284.76,7211.5,12778,6694,
8442.83,8375,14595,7517,
8069.16,7969.5,15129,7389,
7560.8,7537,14777,6425,
8886.05,8792,15352,8009,
8571.26,8476.5,17878,7765,
12849.82,12819,20023,11896,
8795.94,8728.5,14492,7932,
11160.24,11046.5,19655,10200,
9540.55,9446.5,16682,8756,
10751.07,10651,19745,9452,
7690.69,7643.5,13719,6929,
8582.39,8582,16043,7142,
7182.12,7139.5,13201,6648,
7589.68,7557,13975,6876,
8272.7,8242.5,13757,7685,
8238.62,8148.5,16727,7350,
8993.64,8901,16132,7959,
8418.82,8369.5,15178,7692,
6314.76,6245,12030,5859,
6823.85,6757.5,12971,6246,
7832.82,7737,15502,6839,
7757.46,7676.5,13948,7210,
10790.7,10695,19504,9510,
9046.61,8955,15648,8404,
9498.9,9429,15725,8859,
8073.59,7962,14439,7385,
10447.5,10387.5,17196,9633,
10517.64,10419,18578,9615,
11741.39,11644,22429,10517,
8585.93,8495.5,14165,7966,
8289.36,8257,15540,7255,
7929.45,7867.5,14107,6985,
10636.05,10587,17859,9690,
12161.71,12121.5,20798,11140,
9872.42,9790,18567,8767,
8717.29,8649,17405,7810,
12250.52,12149.5,20587,10978,
8501.38,8429,15729,7826,
7251.42,7216,14031,6375,
10041.02,9989.5,18253,9098,
8393.89,8341.5,14651,7755,
9706.86,9608,17421,8856,
7405.72,7334.5,12994,6676,
15490.94,15524,26727,13526,
7822.55,7752.5,13691,7188,
11498.55,11397.5,21160,10105,
9140.51,9069,16612,8411,
9615.04,9529,16700,9065,
10658.92,10558,18875,9687,
11808.22,11727.5,20985,10571,
8572.37,8513.5,16640,7869,
7100.81,7039.5,13141,6541,
10953.87,10872.5,19150,9719,
8675.31,8593.5,16583,7922,
8040.25,8037.5,15165,6936,
7126.76,7036,13954,6433,
8487.17,8444,15539,7563,
12635.01,12600.5,19353,11499,
7950.79,7871.5,13814,7231,
9025.64,8934.5,16725,8255,
9134.33,9118.5,14943,8278,
8049.23,7982,14234,7325,
7955.54,7849.5,14917,7333,
9352.81,9268.5,17077,8661,
8172.73,8092.5,14978,7025,
8785.22,8708.5,15838,8042,
8818.89,8743.5,16380,7907,
7237.78,7148,14975,6539,
8026.14,7966,14483,7253,
7690.53,7612.5,14292,7036,
8454.59,8350.5,16134,7875,
10838.98,10738.5,20295,9840,
11495.97,11398.5,20742,10414,
8411.07,8326.5,14811,7559,
11139.99,11024,21352,9928,
8315.81,8252,15798,7561,
6582.95,6554,13142,5871,
9643.53,9548,17037,9020,
7164.15,7091,14005,6399,
10173.88,10031.5,20870,8909,
7081.33,7008,12317,6621,
8489.23,8410.5,16232,7838,
7022.78,6928,13795,6411,
14620.32,14426,24886,13037,
9685.74,9588.5,17358,9005,
10156.23,10097.5,17302,9160,
15916.76,15922.5,26307,14103,
8649.16,8595.5,14780,7980,
8079.84,8020.5,14503,7446,
7192.62,7155,13602,6267,
7921.1,7877.5,14761,6914,
8822.05,8767.5,17686,8044,
9968.42,9881,18291,8747,
9082.28,9020,15516,8318,
8297.08,8146.5,15667,7474,
9054.4,8988.5,17366,8071,
10305.63,10202.5,17912,9448,
8247.19,8186.5,13967,7537,
9098.46,9010,15781,8242,
6659.28,6623.5,12710,5482,
8382.36,8306.5,16556,7568,
10743.61,10654,16751,10079,
11660.88,11591.5,18620,10759,
13420.66,13316,22856,12155,
8292.38,8235.5,15424,7427,
10326.83,10263,16906,9472,
10940.77,10883,18350,10069,
8910.78,8851,17238,8120,
7665.43,7568,15222,6956,
9282.94,9167.5,16995,8345,
6390.3,6351.5,12492,5801,
9544.21,9515.5,16031,8597,
10366.52,10311.5,16969,9647,
7559.96,7520,14397,6834,
11027.45,10955,18516,10206,
8129.45,8041,14000,7521,
7387.53,7300.5,15331,6433,
8953.28,8892,16284,7999,
8516.54,8449,15138,7670,
8914.03,8834,16821,8132,
10143.62,10091,16227,9456,
9117.26,9151,15963,7823,
6806.94,6752,12396,6283,
12082.22,11926,21086,10547,
8744.54,8663.5,15986,8123,
9511.31,9468,16352,8518,
9209.06,9077,15761,8334,
8438.39,8370,15564,7629,
10094.21,10007.5,18033,9174,
8991.07,8895.5,14830,8264,
10182.27,10062.5,18843,8767,
6965.12,6892,12598,6277,
10376.52,10257.5,17728,9451,
7889.5,7796.5,16489,7294,
11616.77,11522,19941,10546,
6585.74,6521,13434,6011,
7861.41,7797,16408,7080,
7188.27,7140,13846,6545,
9995.6,9890.5,18481,8976,
11322.17,11232.5,20411,10177,
11369.19,11289,19649,10337,
7087.32,7005,13799,6339,
10884.5,10859.5,19739,9562,
10181.31,10074,18311,9242,
10275.49,10185,15701,9640,
8571.18,8485,14256,7656,
7290.62,7169.5,14166,6453,
10430.4,10353.5,17901,9569,
8056.38,7985,14615,7198,
6785.11,6690,13124,6034,
8366.97,8264,15224,7277,
10701.57,10633.5,18839,9884,
5358.24,5283.5,11064,4934,
6623.75,6558,11379,6081,
6644.25,6586.5,11903,6187,
6335.42,6188,12868,5746,
5502.01,5464,10123,4977,
7100.22,7026.5,12112,6694,
9176.27,9094.5,15266,8457,
6146.43,6101.5,11349,5675,
5295.98,5242.5,9661,4723,
7176.99,7140.5,12698,6573,
5713.53,5611,13117,5031,
4968.26,4901,9931,4384,
6752.44,6670.5,12112,6284,
